用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
清吾卡斯兰娜,男,回复 @不停的找北 :他们只是线上预赛拿了高名次[妙啊]，而且能拿高名次还是靠三人蒙了一题答案（学生，老师，老师对象一起考试）结果那个学生那道题蒙对了，拉开差距了,萨斯菲尔德的离歌,二级评论,3,33,2024-11-06 07:50:06
行不行尸不尸,保密,回复 @别逸南 :[笑哭]数学天才就是那种，天天睡觉，别的不及格，数学物理高分甚至满分的大神,萨斯菲尔德的离歌,二级评论,4,49,2024-11-06 08:28:41
吃草莓的人,保密,回复 @笨蛋普斯猫_ :中专教师是真滴舒服，课程压力不大，待遇比高中好，还能带竞赛提高知名度又能赚米。,萨斯菲尔德的离歌,二级评论,5,20,2024-11-06 09:30:22
bopocide14,保密,你看，阿里和数学缠绵的姿态多妖娆，就是当爹娘不合格，只管生不管养，小崽子一直被爆“主”。,萨斯菲尔德的离歌,二级评论,2,5,2024-11-06 09:47:22
颜艺の金刚,男,因为数学不会就是不会[大笑],萨斯菲尔德的离歌,二级评论,6,7,2024-11-06 10:19:59
狐小喵,保密,回复 @行不行尸不尸 :嗯，最后大题一做，文科生赤脚都赶不上。我不是天才，在两门无关紧要的学科让我操碎了心还是勉强及格的情况下，靠着数学物理常年年级前二十，一不小心能进前五。[OK],萨斯菲尔德的离歌,二级评论,6,5,2024-11-06 11:48:25
狐小喵,保密,回复 @bopocide14 :因为不是它生的。,萨斯菲尔德的离歌,二级评论,6,0,2024-11-06 11:49:08
蛇蛇冰河世纪无恶好,保密,确实[喜极而泣]毕竟发掘成本很低,萨斯菲尔德的离歌,二级评论,5,0,2024-11-06 14:33:57
阿努比斯逛街,保密,回复 @加藤阔落 :那是不够天才，最多比普通人略强,萨斯菲尔德的离歌,二级评论,5,0,2024-11-06 14:51:16
行不行尸不尸,保密,回复 @狐小喵 :[doge_金箍]那也是普通人眼中大神级的了，你所谓的一不小心就是别的科超神发挥了吧[喜极而泣],萨斯菲尔德的离歌,二级评论,4,1,2024-11-06 15:14:10
不正经的M-M,保密,数学天赋太明显了，根本藏不住。我高中同学算是很内向那批人了，但是数学常年稳居全级前十，周测我题都还没看完人家都快做完了。而且数学好的理科不会差（除了完全不听）基本上埋没不了,萨斯菲尔德的离歌,二级评论,5,7,2024-11-06 16:38:05
红豆泥_绿豆糕,男,回复 @别逸南 :确实 会数学的人身边总是围着一圈人问问题 哈哈哈,萨斯菲尔德的离歌,二级评论,6,1,2024-11-06 17:54:15
cp不如cpp,保密,回复 @盖浇饭就是最棒的 :啊？物理竞赛的东西大学物理基本都涉及，不至于仰望吧，反而是数竞经常学生教老师,萨斯菲尔德的离歌,二级评论,5,1,2024-11-06 18:03:04
不停的找北,保密,回复 @万事唯心 :这么容易你能考多少呀？给你三次机会！,萨斯菲尔德的离歌,二级评论,6,0,2024-11-06 18:06:23
加藤阔落,保密,回复 @阿努比斯逛街 :emmmm，我只能说，浙大能进阿里初赛的也没多少位。至少在数学方面是能达到top3大学平均数学系数学水平以上的人。,萨斯菲尔德的离歌,二级评论,6,0,2024-11-06 19:26:25
账号已注销,保密,回复 @cp不如cpp :有是有，那不是读研几年除了自己的领域别的都忘了嘛[笑哭]现在脑子新新的人也傻傻的…我还特意买了普物课本回来看，早知道当年本科搬宿舍就不卖了。,萨斯菲尔德的离歌,二级评论,0,0,2024-11-06 19:53:43
七命光空,保密,有的数学100分，英语30分的比比皆是,萨斯菲尔德的离歌,二级评论,5,2,2024-11-06 20:25:28
Lacie_R,保密,会不会我不知道，我只知道高考物理满分因为生源地原因被录取学校不让选物理专业，因为不对该地开放[吃瓜],萨斯菲尔德的离歌,二级评论,6,0,2024-11-07 08:55:48
Lacie_R,保密,生源地河南，平时发不出来[吃瓜],萨斯菲尔德的离歌,二级评论,6,1,2024-11-07 08:56:11
奇怪の多糖,男,化学？理科人自己的历史学罢了,萨斯菲尔德的离歌,二级评论,6,2,2024-11-07 09:37:59
阿尔卑斯山上的蝴蝶,男,回复 @麒麟JKL :生物老师说你遗传学很棒，叫你做一下那个试卷[吃瓜],萨斯菲尔德的离歌,二级评论,5,0,2024-11-07 10:00:22
夜暝飞雪,男,也有可能被埋没，我们河南那边想搞数学但同时还有中高考压力，没学校支持很难专心搞数学[大哭],萨斯菲尔德的离歌,二级评论,6,0,2024-11-08 08:14:57
一笔雕凿生活,男,回复 @麒麟JKL : 实测有效，人逼急了是敢韦达硬解圆锥曲线的[微笑],萨斯菲尔德的离歌,二级评论,5,2,2024-11-08 23:14:09
面壁者_章北海,保密,在中国数学好基本上其他科不会太差，起码的逻辑在,萨斯菲尔德的离歌,二级评论,6,1,2024-11-09 03:13:00
采菊的劳拉,保密,回复 @麒麟JKL :可能是改开以来的西化教育把数理化给神话了。,萨斯菲尔德的离歌,二级评论,3,0,2024-11-10 18:32:07
采菊的劳拉,保密,回复 @颜艺の金刚 :你不会不等于别人也不会哦！不然，你去拿个第12名试试呗？,萨斯菲尔德的离歌,二级评论,3,0,2024-11-10 18:33:50
采菊的劳拉,保密,回复 @清吾卡斯兰娜 :你也蒙一个试试呗，看看这评论区那么多说“数学不会就是不会”的，好像它们不会姜萍就和他们一样不会似的！,萨斯菲尔德的离歌,二级评论,3,0,2024-11-10 18:36:39
采菊的劳拉,保密,回复 @颜艺の金刚 :你上面还有说姜萍和她老师蒙的呢！,萨斯菲尔德的离歌,二级评论,3,0,2024-11-10 18:37:26
没有风格的路人角色,男,回复 @蛇蛇冰河世纪无恶好 :这是学科中最需要智力的,萨斯菲尔德的离歌,二级评论,6,1,2024-11-12 10:44:30
bili_662795463,保密,中式教育的好处就是绝不可能埋没理科类人才,萨斯菲尔德的离歌,二级评论,4,5,2024-11-12 13:34:47
谷微尘,保密,真正的天才只要接触了这一行是绝对不会被埋没的。,萨斯菲尔德的离歌,二级评论,6,0,2024-11-14 15:37:29
bili_280840709,男,想到我初中数学期末满分，英语不及格，然后总体成绩排名倒数，班主任就针对我，现在读个大专毕业进厂[笑哭]其实真的一直有点过不去,萨斯菲尔德的离歌,二级评论,6,0,2024-11-15 07:21:06
ooyo9780,保密,毕竟化学可以纯靠背,萨斯菲尔德的离歌,二级评论,5,0,2024-11-16 23:11:36
和店长听雨,保密,只要先进领域有用，就不会埋没，其他的随便埋，你没了后面大有人在,萨斯菲尔德的离歌,二级评论,5,0,2024-11-19 20:42:46
鸭和猫实验室,男,回复 @盖浇饭就是最棒的 :我当时因为理解不了，只能硬背解题方法，后面从三十多勉强提升到及格水平，但更高就难了[笑哭]只能说人与人的差距有点大,萨斯菲尔德的离歌,二级评论,6,0,2024-11-21 17:55:45
木易雾劳,保密,说反了吧。,萨斯菲尔德的离歌,二级评论,5,0,2024-11-21 22:41:36
健忘的化学老师,男,回复 @Qerror :化学前面还好，背背就能会不少，往后正经学有机化学物理化学结构化学一样是不会就是不会。,萨斯菲尔德的离歌,二级评论,6,1,2024-11-22 10:24:30
Qerror,保密,回复 @健忘的化学老师 :一本化学反应原理就可以淘汰很多人了，不过整体上看靠背诵拿分的地方还是挺多的,萨斯菲尔德的离歌,二级评论,5,0,2024-11-22 10:43:30
健忘的化学老师,男,回复 @Qerror :是的，初高中很多东西是背的,萨斯菲尔德的离歌,二级评论,6,0,2024-11-22 11:11:10
轻轻松松又一天,保密,回复 @麒麟JKL :哈哈哈哈😂,萨斯菲尔德的离歌,二级评论,5,0,2024-11-23 09:09:26
Rezyx,保密,理工科天才基本都不会漏，其他科目考得不好，也能走奥赛保送。,萨斯菲尔德的离歌,二级评论,4,0,2024-11-24 22:44:30
御坂19344号,女,只有理科行，文科拉分呢,萨斯菲尔德的离歌,二级评论,6,0,2024-11-25 21:15:25
SoGre_Go,保密,回复 @Tashkent_Off :主要是文科确实没啥难度啊[尴尬][尴尬][尴尬],萨斯菲尔德的离歌,二级评论,5,0,2024-11-27 00:36:22
海豹开腔,保密,穷的没机会，全世界都一样,萨斯菲尔德的离歌,二级评论,5,0,2024-11-27 01:56:44
好战友的奇异空间,保密,回复 @Tashkent_Off :如果是真的的，你想想为什么理科生有能力抢文科生位置？所谓重理轻文的根本原因是因为理科本来就是那么重要。。。,萨斯菲尔德的离歌,二级评论,6,0,2024-12-02 23:37:00
Tashkent_Off,男,回复 @好战友的奇异空间 :所以这就是理科生抢文科生位置的理由？这么牛逼有能力还那么重要为什么还要转文科班？,萨斯菲尔德的离歌,二级评论,6,0,2024-12-03 06:48:42
好战友的奇异空间,保密,回复 @Tashkent_Off :而且你说这话的时候自己默认了理科生的差生也比文科生能力强[喜极而泣][喜极而泣],萨斯菲尔德的离歌,二级评论,6,0,2024-12-03 08:22:35
Tashkent_Off,男,乐，某人觉得这种高考前转科还抢的合理抢的对是吧？要是文理分科那时候转也就算了，特地高三再转？[打call][打call]真的牛逼，果然某人这种就是把脑子学坏了,萨斯菲尔德的离歌,二级评论,6,0,2024-12-03 08:26:17
Byeki,保密,浙大：好险！那时被骂疯了！,,一级评论,5,2322,2024-11-05 16:24:43
达伦帕丁森,男,浙大很聪明，没直接回复，而是说给一个参加他夏令营的机会，她要是去了，真的自然考虑特招，假的当场就揭穿,Byeki,二级评论,5,1348,2024-11-05 22:03:42
暮夏听蝉,保密,回复 @达伦帕丁森 :他们肯定知道真假，一个电话的事，但又不好说真话打某些大牌媒体的脸，小媒就算了，殃煤的脸都丢尽了，什么新闻学啊,Byeki,二级评论,6,722,2024-11-06 01:02:17
sonnyhcx,保密,这次事件告诉我们，炒作什么也千万别炒作数学，数学会就是会，不会是真不会[滑稽],,一级评论,6,1683,2024-11-05 17:28:19
花开堪折126,男,还是炒作家人设比较容易[doge],sonnyhcx,二级评论,6,264,2024-11-05 19:16:41
暮夏听蝉,保密,回复 @花开堪折126 :写首诗写首诗[doge],sonnyhcx,二级评论,6,50,2024-11-06 01:07:31
bili_85983160394,保密,回复 @花开堪折126 :作家也得有真本事才能经住考验……因为文科类入门相对容易，大家好像都懂那么一丢丢，所以我感觉是搞文科的更容易受到来自群众的批判[藏狐]反倒是数学这种东西至少还能糊弄些看不懂的人[笑哭],sonnyhcx,二级评论,4,87,2024-11-06 09:07:16
花开堪折126,男,回复 @bili_85983160394 :数学能糊弄不懂的人，但是大部分受过高等教育的人还是懂一些的。文学不一样，即便是真懂的人也不好说真不懂的人不懂。,sonnyhcx,二级评论,6,75,2024-11-06 09:17:10
艾特司体赣神魔,保密,回复 @bili_85983160394 :贾浅浅[胆大党_微笑],sonnyhcx,二级评论,5,26,2024-11-07 15:32:36
Gigimmp,男,而且会的人一看，就知道你不会,sonnyhcx,二级评论,5,10,2024-11-08 12:40:38
哒咩不可爱,保密,回复 @暮夏听蝉 :有个好爸爸，写屎尿屁的诗就行了[OK],sonnyhcx,二级评论,2,18,2024-11-16 14:04:41
那年暑假的夏天,保密,回复 @bili_85983160394 :别装死啊，贾浅浅,sonnyhcx,二级评论,6,6,2024-11-20 09:37:12
那年暑假的夏天,保密,回复 @bili_85983160394 :47个点赞，笑死了，别装死,sonnyhcx,二级评论,6,1,2024-11-20 09:37:32
bili_85983160394,保密,回复 @那年暑假的夏天 :?,sonnyhcx,二级评论,4,0,2024-11-20 16:16:19
bili_85983160394,保密,回复 @那年暑假的夏天 :我发表一下个人观点怎么你了，,sonnyhcx,二级评论,4,0,2024-11-20 16:16:46
孟尝君常梦,女,回复 @bili_85983160394 : 智齿[OK],sonnyhcx,二级评论,5,0,2024-11-20 23:02:03
一念集,保密,回复 @艾特司体赣神魔 :屎尿屁的玩意[吃瓜],sonnyhcx,二级评论,6,1,2024-11-22 00:24:01
Acika,男,像这种炒作的选对象最好也得有榜内中游的实力[笑哭],sonnyhcx,二级评论,6,0,2024-12-12 07:41:36
逻辑修士,保密,回复 @bili_85983160394 :搞文学一上纲上线就要被骂的更惨了,sonnyhcx,二级评论,4,0,2024-12-13 17:17:40
一只快乐的刘大,保密,要是中专的文学天才，大概是可能的。但数学。。。以我大学痛苦的高数经验来看，这不是灵光一闪能解决的[吃瓜],,一级评论,6,3619,2024-11-05 16:22:39
阿福萌萌哒,男,数学就是靠灵光一闪，不过那是试卷只有150分人的事情。连150分的基础都驻不牢就不要谈灵光。而如果高考150分，就算其他都是0也有大学会特招她。,一只快乐的刘大,二级评论,3,184,2024-11-05 16:32:51
南国一沙鸥,保密,回复 @阿福萌萌哒 :是的，中专数学连高中数学难度都没有，她连中专数学都考不好，竞赛这种属于根本没戏，看都看不懂，所以才会抄写板书出现主＝6  的笑话，因为高等数学符号她都不懂。别说精通高等数学了。我考研时也被数学折磨的欲仙欲死，我高考数学可不差。,一只快乐的刘大,二级评论,5,132,2024-11-05 16:40:48
王迷糊121,男,大学数学全部60路过[doge],一只快乐的刘大,二级评论,5,29,2024-11-05 16:47:47
hanse126,保密,微积分太可怕了。必须全部忘掉。[辣眼睛],一只快乐的刘大,二级评论,5,144,2024-11-05 17:19:20
烟火莲灯233,保密,回复 @阿福萌萌哒 :我相信这个灵光一现是需要很丰厚的知识和经验积累才能出现的,一只快乐的刘大,二级评论,6,101,2024-11-05 17:27:34
美琴さん,男,确实，文科是真的有可能出后期的，数学？不太可能,一只快乐的刘大,二级评论,6,55,2024-11-05 17:32:18
微微风歌,男,回复 @美琴さん :文科也是厚积薄发，只有阅读量足够多，你才能妙语连珠信手拈来。,一只快乐的刘大,二级评论,6,71,2024-11-05 17:54:02
德文切莉,保密,除了拉马努金[OK],一只快乐的刘大,二级评论,5,5,2024-11-05 18:01:25
归_有光,保密,回复 @王迷糊121 :你老师辛苦了[脱单doge],一只快乐的刘大,二级评论,6,6,2024-11-05 18:10:08
星空与爱的艺术,保密,怎么说，对又不对，有点刻板印象。天才就是天才，不论文学也好数学也罢，其实都一样的。有天赋的一学就会，没天赋的普通人就苦苦挣扎。文学天赋只是不能通过考试筛选出来，而数学符合考试筛选机制，仅此而已。就不见得数学的天才就不需要灵光一闪，而文学的天才就不需要艰苦奋斗了。,一只快乐的刘大,二级评论,5,19,2024-11-05 18:11:15
哔哩把酒临风,保密,有，但很少，符合常识，几率小的问题而已,一只快乐的刘大,二级评论,3,0,2024-11-05 18:28:44
一只快乐的刘大,保密,回复 @星空与爱的艺术 :也对，天才的世界和我们不一样的[笑哭],一只快乐的刘大,二级评论,6,1,2024-11-05 18:32:55
杆八爹,男,我愤怒的时候能做出任何事，除了数学题,一只快乐的刘大,二级评论,6,21,2024-11-05 18:43:48
一只快乐的刘大,保密,回复 @杆八爹 :哈哈哈哈哈哈，对的对的，太真实了。[大笑][大笑][大笑],一只快乐的刘大,二级评论,6,5,2024-11-05 18:46:21
洛德K,男,大学数学硬生生被老师捞到及格的路过,一只快乐的刘大,二级评论,6,5,2024-11-05 18:49:04
天生一阶牛马圣体,男,回复 @星空与爱的艺术 :[笑哭]天才和普通人最让人绝望的点是，ta们的下限大概是绝大多人数普通人望而不得天花板。,一只快乐的刘大,二级评论,5,7,2024-11-05 19:17:03
美琴さん,男,回复 @微微风歌 :所以说文科更需要积累,一只快乐的刘大,二级评论,6,1,2024-11-05 19:45:08
老F_frankie,男,要解决数学，得靠灵光一直闪,一只快乐的刘大,二级评论,6,2,2024-11-05 20:19:48
求其起个,保密,回复 @hanse126 :[辣眼睛],一只快乐的刘大,二级评论,6,0,2024-11-05 23:47:51
绿豆婆婆,女,大学之前我对数学还是挺有自信的[无语],一只快乐的刘大,二级评论,6,0,2024-11-06 00:26:47
你踏马叫啥,保密,高数还好[doge]以前选错了课上了解析数论是真的痛苦[doge],一只快乐的刘大,二级评论,4,0,2024-11-06 00:31:04
冬馬和纱Kazusa,保密,我高数全都是70分左右飘过，不会是真的不会,一只快乐的刘大,二级评论,6,0,2024-11-06 02:03:44
沈凤梧,女,看来无论什么阶段，数学都是很让人头疼的存在。,一只快乐的刘大,二级评论,5,1,2024-11-06 03:17:15
慈眉善目的老父亲,保密,放心  语文 也不会埋没你的  从小学到大学  没有作文竞赛？社会上还有矛盾文学奖。作文代表不了全部语文?  冷知识  语文也有奥赛  叫  语言学！,一只快乐的刘大,二级评论,5,0,2024-11-06 03:35:54
河漫四海,男,数学会就是会，不会就是不会，这个东西必须要绝对理性的逻辑思考。,一只快乐的刘大,二级评论,3,2,2024-11-06 03:58:26
启君良,保密,"回复 @hanse126 :我不想导，我导不出来了，真的导不出来了哇QAQ
现在，现在又要积回去？[大哭]",一只快乐的刘大,二级评论,5,13,2024-11-06 05:05:47
晴雯三打祝家庄,保密,回复 @美琴さん :文学更看重经历，但数学不需要经历，天才就是天才,一只快乐的刘大,二级评论,4,6,2024-11-06 06:00:02
45核纪元年,保密,回复 @王迷糊121 :你Y真该给老师磕十个头[doge],一只快乐的刘大,二级评论,6,0,2024-11-06 07:01:32
iblold,男,回复 @hanse126 :我还好，从来没记住过[doge],一只快乐的刘大,二级评论,6,0,2024-11-06 08:33:41
美琴さん,男,回复 @晴雯三打祝家庄 :对,一只快乐的刘大,二级评论,6,0,2024-11-06 09:34:46
bopocide14,保密,你看，阿里和数学缠绵的姿态多妖娆，就是当爹娘不合格，只管生不管养，小崽子一直被爆“主”。,一只快乐的刘大,二级评论,2,0,2024-11-06 10:10:22
亚瑟-柯克兰炸厨房,保密,回复 @烟火莲灯233 :对，我就是，高中学得云里雾里的各种函数导数，上大学学高数学微积分学着学着就突然开窍了[笑哭][笑哭]没有高中的积累我大学拿头灵光一闪[笑哭][笑哭][笑哭],一只快乐的刘大,二级评论,6,2,2024-11-06 12:39:12
不正经的M-M,保密,回复 @王迷糊121 :60说明老师已经尽力捞了[doge],一只快乐的刘大,二级评论,5,0,2024-11-06 16:41:19
中二生命的歌者,男,"说实话现在学的那点撑死叫语文，不叫文学[UPOWER_4547033_乐]
真文学光方法论就一大堆",一只快乐的刘大,二级评论,6,0,2024-11-06 16:50:52
多肉小素,女,回复 @微微风歌 :但是数学[doge]无法厚积薄发,一只快乐的刘大,二级评论,6,0,2024-11-06 19:38:49
微微风歌,男,回复 @多肉小素 :数学也是一样，因为学不来的早就放弃了， 只剩下大佬厚积薄发了[doge],一只快乐的刘大,二级评论,6,0,2024-11-06 19:48:11
约拿单和大卫得偿所愿,女,大学微积分考个78都能让我骄傲很久[笑哭][笑哭][笑哭]因为我们大学微积分挂科率40%,一只快乐的刘大,二级评论,6,0,2024-11-06 22:54:05
信仰KIA,保密,就我高中数学110分左右都能上高中，你说中专的数学天才？这个天的不是很才啊[滑稽],一只快乐的刘大,二级评论,6,0,2024-11-07 09:52:37
Sykes饮水思源,男,回复 @南国一沙鸥 :这个主=6想表达的是啥来着,一只快乐的刘大,二级评论,5,0,2024-11-07 11:21:19
布狗123,保密,回复 @美琴さん :后期是啥意思？,一只快乐的刘大,二级评论,5,0,2024-11-07 14:44:14
美琴さん,男,回复 @布狗123 :后期就是后期积累的意思，文学家年龄越大文笔越好，但是数学家不是，大脑的思维逻辑是越年轻的时候越活跃，知名科学家的研究成果大多数都是在40岁前，像是高斯黎曼欧拉之类的神仙都是从小展露才华，20岁左右就已经做出了瞩目的成果,一只快乐的刘大,二级评论,6,1,2024-11-07 14:49:34
仄焰,男,高等数学这门功法太深奥了，我修炼了两年都没有学成,一只快乐的刘大,二级评论,6,0,2024-11-07 18:12:40
今生绝恋-独守空城,保密,回复 @微微风歌 :不过，确实会出现很妙的灵感，有一些东西只有年轻人才有，我这样的社畜脑子已经贫瘠了,一只快乐的刘大,二级评论,5,0,2024-11-09 09:00:17
泠沨_,保密,回复 @德文切莉 :女神托梦.jpg,一只快乐的刘大,二级评论,5,0,2024-11-09 21:10:32
牢黵附魔薝粎亩琴,保密,中专会出一些绝活狠人，但是数学、文学、物理等学术学科天才几乎不可能,一只快乐的刘大,二级评论,5,0,2024-11-10 12:47:30
猫猫的糖盒,保密,大学数学高数现代100分的路过😊,一只快乐的刘大,二级评论,5,0,2024-11-11 08:04:10
这么多人啊,保密,"以前我也觉得数学好容易，直到 开始学习高数。
难度根本不是一个层级的",一只快乐的刘大,二级评论,5,0,2024-11-11 12:59:11
lreaperl,保密,主要真有天赋早就被破格录取了，我就不信升高考试的时候你一个数学满分卷不会引起学校注意？,一只快乐的刘大,二级评论,5,0,2024-11-13 08:52:43
握不住の風,保密,回复 @hanse126 :导数，微积分啥的我现在都忘了，反正学到后面都要电脑才能算出结果的公式了[妙啊],一只快乐的刘大,二级评论,6,0,2024-11-23 21:05:24
今世不见古时月,男,回复 @Sykes饮水思源 :就是抄错了呗,一只快乐的刘大,二级评论,6,0,2024-11-25 18:03:02
TheAntimony,保密,回复 @杆八爹 :兄弟，搓个原子弹,一只快乐的刘大,二级评论,3,0,2024-11-26 08:41:06
杆八爹,男,回复 @TheAntimony :伙计不好好学数学搓个锤子原子弹,一只快乐的刘大,二级评论,6,0,2024-11-26 10:02:19
Sykes饮水思源,男,回复 @今世不见古时月 :我想问的是他要抄的是什么,一只快乐的刘大,二级评论,5,0,2024-11-26 16:01:25
今世不见古时月,男,回复 @Sykes饮水思源 :Σ抄成“主”,一只快乐的刘大,二级评论,6,0,2024-11-26 16:02:40
Sykes饮水思源,男,回复 @今世不见古时月 :绷,一只快乐的刘大,二级评论,5,0,2024-11-26 16:17:37
_dh381_,男,真上过学的都知道，不管偏哪一科都有可能进中专，但数学不会，因为如果你能学会数学，其他科再差也有能力拿到及格分,,一级评论,4,6356,2024-11-05 17:28:37
薇莉塔丝,女,数学天才什么的真的是宝贝，就算其他科真不行老师也有办法的[雨路同行-表情包_照照镜子],_dh381_,二级评论,4,151,2024-11-05 17:30:34
zhu哥666,保密,是的数学好，先排除少数自闭症患者的异常脑发育或者思考逻辑，其他数学好意味着数理逻辑是极其强大的，也就意味着，再怎么样，你的数理化着三门肯定都是比一般的水平要高的，生物因为还处于了解背诵阶段，不涉及。基本也可以说靠着这个哪怕再偏科也给你送进高中了[嗑瓜子],_dh381_,二级评论,6,1065,2024-11-05 17:57:29
阿离ヾ,保密,[tv_笑哭]所以我数学差理综也差是有联系的是么,_dh381_,二级评论,6,80,2024-11-05 18:02:48
时间真是可怕的东西,保密,不，我英语20多[doge_金箍],_dh381_,二级评论,6,45,2024-11-05 18:06:03
_dh381_,男,回复 @阿离ヾ :应该有吧，我们班的同学只要是数学上了100的理综都没有低于200，我是数学119理综240,_dh381_,二级评论,4,70,2024-11-05 18:12:08
阿离ヾ,保密,回复 @_dh381_ :我高考数学好像七十多，理综多少分忘了，一百多？我只依稀记得我英语成绩比理综三门总成绩还高[藏狐],_dh381_,二级评论,6,25,2024-11-05 18:21:11
逛到世界尽头,保密,而且偏科数学还有各种竞赛上升机会，老师也会拉一把的，不可能毫无预兆埋没,_dh381_,二级评论,5,285,2024-11-05 18:26:44
哔哩把酒临风,保密,有，但很少，符合常识，几率小的问题而已华罗庚，化学家物理学家都出过,_dh381_,二级评论,3,35,2024-11-05 18:30:08
我的人生没有失败,男,本人的偏科是数学110多，英语没上过70（满分150）[doge_金箍],_dh381_,二级评论,6,24,2024-11-05 18:34:48
伐木丁丁31415,保密,不太认同，我就看过数学极好语文英语极差的案例,_dh381_,二级评论,5,29,2024-11-05 18:40:49
扎心的指针,男,我高考数学90多，英语22，虽然都不咋地，但是可以证明偏科是存在的,_dh381_,二级评论,5,16,2024-11-05 18:41:21
_dh381_,男,"回复 @伐木丁丁31415 :这个要看极好是什么概念了，我说的极好是数学130往上的，如果你的极好是110,120的话，我的三主科也是这样",_dh381_,二级评论,4,33,2024-11-05 18:44:08
_dh381_,男,回复 @阿离ヾ :我的语文就低的一批，最后几个礼拜我们班主任都直说我不用管语文了[笑哭],_dh381_,二级评论,4,7,2024-11-05 18:47:05
伐木丁丁31415,保密,回复 @_dh381_ :数学140多，语文英语50、60，理综260,_dh381_,二级评论,5,10,2024-11-05 18:51:59
_dh381_,男,回复 @伐木丁丁31415 :这是真天才[笑哭]，这个分数在我们这也足够上一个一本，绝对不会上中专去,_dh381_,二级评论,4,21,2024-11-05 18:56:22
小楼_流水,保密,不不不，我数学都是前几，英语都是不及格,_dh381_,二级评论,5,2,2024-11-05 18:59:07
cjs986326,保密,咋说呢，看你前半句挺赞，在看你后半句，不咋地。不算英语，剩下的科目均分80分，一样去不了高中。,_dh381_,二级评论,5,5,2024-11-05 19:02:18
_dh381_,男,回复 @cjs986326 :不知道你是哪个市的，但是我查了呼和浩特的资料，体育按30算，数学按100算，其他都按80算，也能上普高,_dh381_,二级评论,4,3,2024-11-05 19:17:33
_dh381_,男,回复 @梅花三弄LAX :你那分数线太高了，不过最近几年好像降下来了,_dh381_,二级评论,4,0,2024-11-05 19:23:29
莜小札,女,回复 @哔哩把酒临风 :主要是数学如果牛壁到这个程度的话，参加竞赛就可以直接获得保送。数学竞赛的含金量是最高的,_dh381_,二级评论,5,14,2024-11-05 19:25:33
