用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
norihsia,女,@虚拟AI七海酱 @北辰迦夜 @为什么鱼儿不能说话 数学不会就是不会[大哭],_ByLAN_,二级评论,6,1,2024-11-03 11:03:55
爱新觉罗-麻子,保密,@Radiohead27 转人工,_ByLAN_,二级评论,6,1,2024-11-03 11:06:19
崩xia卡拉卡,男,这是真的，高中学数学能学崩溃，因为不会就是不会，怎么补真的都没用,_ByLAN_,二级评论,5,17,2024-11-03 11:06:35
Peillin-G-,男,回复 @刀刃伤已 :告诉答案也是不会,_ByLAN_,二级评论,5,3,2024-11-03 11:11:05
骨傲天的传人,男,主要是数学太容易鉴别真假了(不会就是不会，速成也不可能)[doge],_ByLAN_,二级评论,5,0,2024-11-03 11:12:11
人生处处是江湖,保密,回复 @刀刃伤已 :你忘了她抄错的那个题了？,_ByLAN_,二级评论,5,0,2024-11-03 11:13:49
犇犇密密麻麻,保密,回复 @刀刃伤已 :别人我不知道，是我的话，直接告诉答案除非直接给张直接对应抄的，不然你给我一页答案我都不知道这种级别的数学竞赛答案对应哪题[笑哭],_ByLAN_,二级评论,5,3,2024-11-03 11:14:01
阳光开朗的孔乙己,女,回复 @崩xia卡拉卡 :是这样的,_ByLAN_,二级评论,5,0,2024-11-03 11:14:07
sking1010,保密,回复 @崩xia卡拉卡 :数学靠的不光是知识还有思维。知识可以学，但思维除非天生的，后天只能通过长期不段的训练来拟合，关键是后天训练一旦松懈你的思维又会很快退化，这对普通人简直就是无尽的痛苦，一般人千万别没事死磕数学。,_ByLAN_,二级评论,5,5,2024-11-03 11:16:09
刀刃伤已,保密,回复 @Peillin-G- :这就夸张了吧，那就再加上。做题步骤一起给他，总不至于他连做题及步骤都记不住吧,_ByLAN_,二级评论,6,0,2024-11-03 11:16:26
花田dAsAb,男,回复 @刀刃伤已 :没用，数学作假只能后期改，告诉你过程和答案你也记不住,_ByLAN_,二级评论,6,0,2024-11-03 11:17:41
弈恩赐,男,什么都会作假，但数学不会就是不会,_ByLAN_,二级评论,5,0,2024-11-03 11:18:06
李想今年还是单身,保密,回复 @刀刃伤已 :不说竞赛特别难的那种，你随便找一本高数书，看了答案你看看会不会解，判断答案不止是只看答案，步骤逻辑还得是对的,_ByLAN_,二级评论,5,0,2024-11-03 11:20:26
内环北线,男,可以写个解啊[滑稽],_ByLAN_,二级评论,6,0,2024-11-03 11:20:41
muwei123,男,回复 @内环北线 : 做不来的最后两题的第三小问写解有一分，记得当年老师说过，这是对于你不会还要求解不依不挠的精神的认可[doge]，不过你涂满了努力分也是1分，还不如写个解,_ByLAN_,二级评论,6,0,2024-11-03 11:35:29
可梦先生,男,回复 @sking1010 :是这样的，但是我理工不得不学啊[笑哭][笑哭],_ByLAN_,二级评论,6,0,2024-11-03 12:03:53
提米芙洋甘橘香氛,保密,回复 @崩xia卡拉卡 :高中数学都能学崩溃？别太逆天,_ByLAN_,二级评论,4,0,2024-11-03 12:35:23
崩xia卡拉卡,男,回复 @提米芙洋甘橘香氛 :偏科，对数字没什么感觉,_ByLAN_,二级评论,5,0,2024-11-10 09:23:19
Ambitionss_,男,blg输了之后开心的一件事,,一级评论,6,996,2024-11-03 10:51:56
篮球堡蔡徐坤,男,熬到三点多看完比赛闹心一宿起来就看到好消息[星星眼],Ambitionss_,二级评论,6,45,2024-11-03 11:03:48
实名制12个星座,男,紧跟时事是吧[doge],Ambitionss_,二级评论,4,7,2024-11-03 11:04:18
AP北极星上的竹子,保密,唉，只能说blg也打满尽力了,Ambitionss_,二级评论,6,40,2024-11-03 11:04:32
何妙龄那打素,男,[OK][OK],Ambitionss_,二级评论,6,0,2024-11-03 11:04:39
善点,保密,反转了，blg为了压热度把清朝僵尸姜萍招呼出来了,Ambitionss_,二级评论,5,61,2024-11-03 11:05:55
空洞传教士,保密,回复 @AP北极星上的竹子 :on出,Ambitionss_,二级评论,4,6,2024-11-03 11:08:43
奇迹5003,保密,t1赢了后又一件开心的事[给心心],Ambitionss_,二级评论,5,11,2024-11-03 11:09:48
doge净土,保密,睡前2比1，起来2比3,Ambitionss_,二级评论,6,2,2024-11-03 11:10:10
评论区皇帝,男,碧螺春输了我也开心[呲牙],Ambitionss_,二级评论,6,1,2024-11-03 11:10:31
MKBK2888,男,回复 @奇迹5003 :[大笑][嗑瓜子][吃瓜][大笑],Ambitionss_,二级评论,5,0,2024-11-03 11:10:53
HaIbLLL,男,被我们寄予厚望的姜萍，也倒在了决赛的舞台上,Ambitionss_,二级评论,5,7,2024-11-03 11:11:34
嘻嘻哈哈笑就是了,男,屮，虽然打的好，但就是很闹心[笑哭],Ambitionss_,二级评论,6,1,2024-11-03 11:12:05
AP北极星上的竹子,保密,回复 @空洞传教士 :on确实太离谱了，只能说faker不愧是神,Ambitionss_,二级评论,6,6,2024-11-03 11:12:21
isshikiiroha一色,保密,on是人我把解说台吃了,Ambitionss_,二级评论,5,5,2024-11-03 11:13:17
柠木薯乐,保密,更开心了😋😋😋,Ambitionss_,二级评论,6,0,2024-11-03 11:13:38
我是熊达,保密,至少b站输了，这是好的,Ambitionss_,二级评论,5,2,2024-11-03 11:13:45
骨傲天的传人,男,回复 @篮球堡蔡徐坤 :不仅熬夜了，还难受到睡不着[黑眼圈_金箍],Ambitionss_,二级评论,5,2,2024-11-03 11:13:45
地球OL_PLAYER,保密,确实，挨一巴掌给个枣,Ambitionss_,二级评论,6,0,2024-11-03 11:13:54
白羽天翎丶,女,这是双喜临门啊,Ambitionss_,二级评论,6,3,2024-11-03 11:14:30
名称不和格,男,k姜萍晋升k院士，真姜萍倒了,Ambitionss_,二级评论,6,4,2024-11-03 11:15:04
Ambitionss_,男,回复 @奇迹5003 :是啊，当t1和faker的粉丝真是一件美事啊，当LPL的粉丝只能一直吃史[大哭],Ambitionss_,二级评论,6,3,2024-11-03 11:15:19
千万对,男,第五把bp烂完了,Ambitionss_,二级评论,6,0,2024-11-03 11:15:32
栗知白,保密,一个Faker赢了，一个Faker输了,Ambitionss_,二级评论,3,1,2024-11-03 11:16:02
青枫还是清风,男,昨晚硬是到5点多才睡着，不过今早醒来就有乐子了[滑稽],Ambitionss_,二级评论,5,0,2024-11-03 11:16:03
但泽尼特,男,心情刚好点，你这…,Ambitionss_,二级评论,6,0,2024-11-03 11:16:24
全自动玛丽凌一,男,回复 @isshikiiroha一色 :Faker也狂给机会，Faker是不是人？,Ambitionss_,二级评论,6,1,2024-11-03 11:17:59
牧ノ原翔子,女,还在提[BLG青春风暴表情包_叹气],Ambitionss_,二级评论,6,0,2024-11-03 11:19:21
isshikiiroha一色,保密,回复 @全自动玛丽派蒙 :五冠去年就登神力,Ambitionss_,二级评论,5,0,2024-11-03 11:21:39
生而为人却真的狗,男,回复 @篮球堡蔡徐坤 :我看到第三把睡着了，然后做了个杀人的梦，巨真实，大年初一，骑着车淋着雨去了一个人家里，灭了门（过程就不描述了，很真实），然后躲到一个朋友家，开始刷了几小时平板，再之后在脑海中回放杀人过程，告诉朋友杀人的感受（恐惧到麻木），然后思考跑路。朋友说这会早案发了，案发七小时内跑路还有机会，这会估计都锁定嫌疑人了，坐火车汽车怕是进站就被抓。。。。。然后零零散散的事情就记不清了。爬起来就看手机，BLG输了[大哭],Ambitionss_,二级评论,6,3,2024-11-03 11:22:51
抛瓦怪维吉尔,男,睡的最香的一集，双喜临门,Ambitionss_,二级评论,6,1,2024-11-03 11:23:42
RightsHereMe,男,还真是[笑哭],Ambitionss_,二级评论,5,0,2024-11-03 11:24:41
鷲見せりな,男,昨晚熬夜到两点看完，之后踏马睡不着了,Ambitionss_,二级评论,5,0,2024-11-03 11:29:13
当百合花开的日子,保密,"11月3号有两件事
一个是faker赢了！[doge]
另一个是faker倒了！[doge]",Ambitionss_,二级评论,6,0,2024-11-03 11:29:54
我是真的逗比乐,保密,回复 @AP北极星上的竹子 :不如被三比零，跟去年一样大家十二点就能睡觉了，现在熬夜凌晨三点拉了坨大的,Ambitionss_,二级评论,5,2,2024-11-03 11:39:42
小小发育马,保密,草，意难平，白熬夜了,Ambitionss_,二级评论,5,0,2024-11-03 11:43:36
2x37mmのt,保密,回复 @善点 :反转了，老师为了给blg提供流量不惜以身入局，胜飞半子,Ambitionss_,二级评论,5,1,2024-11-03 11:58:49
eflsssl,男,明明是双喜临门[吃瓜],Ambitionss_,二级评论,5,0,2024-11-03 12:36:07
智障儿童收容所所长,保密,我只能说，现役理科状元姜萍，文科专业高振宁。,,一级评论,5,1153,2024-11-03 11:10:30
炭烧麻薯,男,不是哥们，哪有英雄叫姜萍啊？[doge],智障儿童收容所所长,二级评论,6,82,2024-11-03 11:16:03
智障儿童收容所所长,保密,回复 @炭烧麻薯 :不是哥们，这不也是比喻句吗？,智障儿童收容所所长,二级评论,5,21,2024-11-03 11:18:19
凌柒一,男,绝代双骄,智障儿童收容所所长,二级评论,6,64,2024-11-03 11:23:02
曾经面朝古寺,男,城墙赛区闹麻啦,智障儿童收容所所长,二级评论,5,60,2024-11-03 11:23:51
习惯性稍稍,男,不是哥们，数学竞赛班是全华班么？,智障儿童收容所所长,二级评论,5,24,2024-11-03 11:25:24
越南战服喻文波,保密,不是哥们，英雄联盟里有状元这个英雄吗,智障儿童收容所所长,二级评论,4,20,2024-11-03 11:35:14
mtblackmrswhite,保密,哈哈哈哈哈,智障儿童收容所所长,二级评论,5,1,2024-11-03 11:37:01
河北工职大,男,回复 @越南战服喻文波 :不是哥们英雄联盟有英雄这个英雄吗[doge],智障儿童收容所所长,二级评论,5,3,2024-11-03 11:37:57
单走一张小菜,保密,高是谁,智障儿童收容所所长,二级评论,5,1,2024-11-03 11:39:32
゚八雲绿,男,回复 @单走一张小菜 : 一个英雄联盟退役职业选手，反正就是没文化,智障儿童收容所所长,二级评论,6,4,2024-11-03 11:42:00
RMYHY,男,细节把状元打错[大笑],智障儿童收容所所长,二级评论,6,7,2024-11-03 11:42:05
为红颜战天下,男,回复 @单走一张小菜 :前两天在直播间说出“旁观者赤，近墨者黑”的神人,智障儿童收容所所长,二级评论,6,16,2024-11-03 11:43:33
CYTSZSD,保密,这波梦幻联动666[笑哭],智障儿童收容所所长,二级评论,3,1,2024-11-03 11:45:25
Iiiikenly,保密,不是哥们儿，这也能开到宁王哈哈哈,智障儿童收容所所长,二级评论,6,4,2024-11-03 11:49:53
丿孤独又灿烂灬鬼,男,双c还在发力,智障儿童收容所所长,二级评论,6,1,2024-11-03 11:49:54
凩子白,男,高振宁真适合配姜萍吧 学历也配,智障儿童收容所所长,二级评论,6,8,2024-11-03 11:54:57
智障儿童收容所所长,保密,回复 @RMYHY :😂刚发现，用的九键输入法，打快了。,智障儿童收容所所长,二级评论,5,2,2024-11-03 11:59:24
橘是猫的猫,男,勾鈤的城墙还在追我[笑哭],智障儿童收容所所长,二级评论,6,1,2024-11-03 12:01:20
谁问谁了,保密,回复 @习惯性稍稍 :这波真全华了，弄不好美国队都是全华班,智障儿童收容所所长,二级评论,4,2,2024-11-03 12:13:13
请记得叫我去喂猫,男,回复 @为红颜战天下 : 文盲打野,智障儿童收容所所长,二级评论,6,0,2024-11-03 12:15:23
月桂醇聚醚浓硫酸酯钠,保密,结昏！,智障儿童收容所所长,二级评论,5,1,2024-11-03 12:15:28
御坂黑子zz,女,底座赛区罢了[藏狐],智障儿童收容所所长,二级评论,5,2,2024-11-03 12:18:45
杨木丶1307,男,哈哈哈哈哈哈哈,智障儿童收容所所长,二级评论,6,0,2024-11-03 12:29:25
右扶风,保密,宁王，说的没错，城墙在哪里？李哥就是城墙，,智障儿童收容所所长,二级评论,6,0,2024-11-03 12:30:39
今天天气很好啦,保密,闹麻了，我笑死了,智障儿童收容所所长,二级评论,4,0,2024-11-03 12:32:49
清月入岭,女,回复 @河北工职大 :昨天晚上真有这个英雄，在第五把出现了,智障儿童收容所所长,二级评论,6,0,2024-11-03 12:58:31
SAS带嘤空降自爆兵,男,教导小盆友们好好读书最好的两个案例[妙啊],智障儿童收容所所长,二级评论,6,0,2024-11-03 13:02:26
他至爱的祖父,男,不是哥们，lol职业联赛有姜萍这个选手吗[doge],智障儿童收容所所长,二级评论,6,0,2024-11-03 13:03:08
虾可以在一个锅里生活,保密,宁麻子可是考上普高的，别拿这个中专生来侮辱他,智障儿童收容所所长,二级评论,6,2,2024-11-03 13:15:35
寄兴,保密,回复 @为红颜战天下 :好家伙，我倒腾了两下子才想起来这句话的正确模样[笑哭],智障儿童收容所所长,二级评论,6,0,2024-11-03 14:56:06
智障儿童收容所所长,保密,回复 @虾可以在一个锅里生活 :【高振宁谈自己后悔没上中专：早知道上个中专毕业了还能搞说唱-哔哩哔哩】 https://b23.tv/0BvyQ2B,智障儿童收容所所长,二级评论,5,0,2024-11-03 15:24:57
Fairyland小羽,女,回复 @゚八雲绿 : 那位学历还不如姜萍呢,智障儿童收容所所长,二级评论,6,0,2024-11-03 21:13:38
枫叶伴随,男,回复 @RMYHY :“状元”不是对的吗？,智障儿童收容所所长,二级评论,5,0,2024-11-04 03:41:29
wen回忆,保密,不是哥们，英雄联盟里面有姜萍这个英雄吗,智障儿童收容所所长,二级评论,5,0,2024-11-11 17:00:04
曾多次拒绝王祖贤,保密,英语不会，你可以抄阅读理解，数学不会，你只能写个解。,,一级评论,2,472,2024-11-03 11:04:47
小心海啊,保密,正解[doge],曾多次拒绝王祖贤,二级评论,4,10,2024-11-03 11:06:42
89889928797,保密,解：依题意得[OK],曾多次拒绝王祖贤,二级评论,5,10,2024-11-03 11:10:06
廣東北方網友,保密,俺来马后炮式总结：由此验证了，数学好的，脑子不会太差，成绩不至于上中专[微笑],曾多次拒绝王祖贤,二级评论,5,12,2024-11-03 11:18:47
傲之烈马者,男,还可以写个证,曾多次拒绝王祖贤,二级评论,5,2,2024-11-03 11:19:13
东田十耳,男,当年张雪峰最火的相声专场上的词儿,曾多次拒绝王祖贤,二级评论,6,2,2024-11-03 11:23:08
旌旗-在望,保密,张雪峰的含金量还在提升,曾多次拒绝王祖贤,二级评论,5,2,2024-11-03 11:23:37
羽子翎,保密,张雪峰上分,曾多次拒绝王祖贤,二级评论,6,0,2024-11-03 11:29:49
次元大芥菜,保密,https://b23.tv/BV1h24y127fa,曾多次拒绝王祖贤,二级评论,6,0,2024-11-03 11:30:35
我喜欢吃蝌蚪,保密,回复 @旌旗-在望 :他不是含屁量吗,曾多次拒绝王祖贤,二级评论,5,0,2024-11-03 11:30:45
旌旗-在望,保密,回复 @我喜欢吃蝌蚪 :你含屁量🤣,曾多次拒绝王祖贤,二级评论,5,0,2024-11-03 12:02:02
Tim-miT,男,回复 @廣東北方網友 :数学好的人往往从小就能展现出天赋 当年欧拉高斯皆是如此 我在省重点中学的重点班 这点深有体会 见过太多天赋顶级的人了 肯定不会上中专的,曾多次拒绝王祖贤,二级评论,5,0,2024-11-03 12:29:54
我喜欢吃蝌蚪,保密,回复 @旌旗-在望 :真有人吹张雪峰就离谱[偷笑],曾多次拒绝王祖贤,二级评论,5,0,2024-11-03 13:31:29
旌旗-在望,保密,回复 @我喜欢吃蝌蚪 :你能活着也蛮离谱的🥺,曾多次拒绝王祖贤,二级评论,5,0,2024-11-03 13:47:24
君所言甚是__,保密,英语和数学不一样吧，基本不需要天赋[笑哭],曾多次拒绝王祖贤,二级评论,5,0,2024-11-03 15:03:30
挥大刀砍小书包,保密,已经八月95号辣[星星眼][星星眼][星星眼][星星眼],,一级评论,6,470,2024-11-03 10:52:37
supreme恒,保密,数学最好的一集[doge],挥大刀砍小书包,二级评论,6,4,2024-11-03 11:01:08
獾名,男,已经八月16主-1号辣[星星眼][星星眼][星星眼][星星眼],挥大刀砍小书包,二级评论,5,1,2024-11-03 11:10:12
璀璨中的眷恋,保密,这得去隔壁平台看才有节目效果,,一级评论,6,569,2024-11-03 10:51:15
冬馬__雪菜,保密,是哪个平台？小红书？,璀璨中的眷恋,二级评论,6,15,2024-11-03 11:01:25
橙砸a,男,哪里？,璀璨中的眷恋,二级评论,6,0,2024-11-03 11:01:42
lessonboard,男,dy/ks吧，xhs那群人精的很，官方声明一出来就切割了[doge],璀璨中的眷恋,二级评论,5,87,2024-11-03 11:02:37
每天玩一会魔兽世界,保密,回复 @冬馬__雪菜 :小红,璀璨中的眷恋,二级评论,6,3,2024-11-03 11:02:38
长空雁叫霜晨月8e,保密,几个平台中抖音上其实还好，搞笑的在头条和百度,璀璨中的眷恋,二级评论,5,59,2024-11-03 11:04:05
半自动娜维娅2th,保密,回复 @长空雁叫霜晨月8e :都是一些没学历的中老年人，那些抽象言论当乐子看吧[脱单doge],璀璨中的眷恋,二级评论,5,68,2024-11-03 11:05:00
yuurd,保密,抖音还有大将出来对线👊,璀璨中的眷恋,二级评论,5,13,2024-11-03 11:05:38
熊大大明,男,已经有人开始了：能拿到初赛成绩底子肯定是有的，不然光交流帮助也是白搭...似乎有点道理，她们还是懂挽尊的,璀璨中的眷恋,二级评论,6,106,2024-11-03 11:06:20
栋狗酱,保密,wb上真是物种的多样性啊,璀璨中的眷恋,二级评论,6,14,2024-11-03 11:13:20
FX阜星,保密,回复 @长空雁叫霜晨月8e : 百度评论区永远是最逆天的没有之一[星星眼]每次都能让我开怀大笑,璀璨中的眷恋,二级评论,6,37,2024-11-03 11:13:44
KeKe2000,保密,你把视频放哪了,璀璨中的眷恋,二级评论,6,0,2024-11-03 11:14:05
用我十载寒暑，还你君临天下,男,回复 @熊大大明 :hhh，在他们那，抄题就能抄对就属于天才了,璀璨中的眷恋,二级评论,6,14,2024-11-03 11:14:10
KeKe2000,保密,视频号,璀璨中的眷恋,二级评论,6,1,2024-11-03 11:14:11
-Landau,男,回复 @lessonboard :6 我看成dy/dx,璀璨中的眷恋,二级评论,5,2,2024-11-03 11:15:59
牢饭头头,保密,回复 @FX阜星 :刚从百度回来，乐死啦[吃瓜],璀璨中的眷恋,二级评论,3,2,2024-11-03 11:16:27
好玩就得任性,保密,啥效果，隔壁说开卷能抄对也是天才呢[笑哭],璀璨中的眷恋,二级评论,4,3,2024-11-03 11:18:30
结城为您服务,保密,回复 @长空雁叫霜晨月8e :百度都是些中老年人，而且百度现在什么都度不到，早卸载了,璀璨中的眷恋,二级评论,6,6,2024-11-03 11:20:03
朗润2012,保密,回复 @熊大大明 : 交流只是通告委婉的说法，实质就是作弊,璀璨中的眷恋,二级评论,6,5,2024-11-03 11:20:09
冰阔落汪,男,回复 @长空雁叫霜晨月8e :百度一堆老头信,璀璨中的眷恋,二级评论,5,1,2024-11-03 11:20:13
LIKE丶Pe,保密,wb，byd有人说老师代考才17，姜萍自己亲自考能更高[笑哭],璀璨中的眷恋,二级评论,5,4,2024-11-03 11:21:42
长空雁叫霜晨月8e,保密,"回复 @FX阜星 :头条和百度上的神友:完了，姜萍要去美国了！
头条和百度上的品客:这是资本对普通人的迫害！
最后活久见啊！这两个平台上神兔合流，在那些键政大V的带领下冲进学术区到处扇风点火",璀璨中的眷恋,二级评论,5,5,2024-11-03 11:24:19
永远喜欢晒晒,保密,回复 @熊大大明 : 底子都来了，哈哈红红火火恍恍惚惚,璀璨中的眷恋,二级评论,5,0,2024-11-03 11:25:29
熊大大明,男,回复 @长空雁叫霜晨月8e :这年头连kimi去世的事情都能被臆想的神乎其神，遇事不决，扣个资本的力量的大帽子，万能公式😂,璀璨中的眷恋,二级评论,6,0,2024-11-03 11:29:17
鳖_载着理发店,保密,回复 @半自动娜维娅2th :大量的中专人不提了？,璀璨中的眷恋,二级评论,5,0,2024-11-03 11:32:08
马猴烧酒Dolores,女,回复 @熊大大明 :还真是，刚看到一个也是这么说的[笑哭],璀璨中的眷恋,二级评论,5,0,2024-11-03 11:42:10
大口胡,男,建议录屏并投稿[胆大党_微笑],璀璨中的眷恋,二级评论,6,0,2024-11-03 11:42:26
相信未来南京B,保密,"“我永远忘不了2024.11.3号，这个属于Faker的日子。”
“你也看英雄联盟吗？”
“我是说数学造假的事情。”",,一级评论,4,467,2024-11-03 11:39:28
一只达令,男,没绷住,相信未来南京B,二级评论,6,0,2024-11-03 11:55:19
璀璨抑或凋零,保密,好！,相信未来南京B,二级评论,6,0,2024-11-03 12:03:53
普鲁修卡流满地,保密,乐，不过中专天才们可能不知道Faker的意思[大笑],相信未来南京B,二级评论,6,10,2024-11-03 12:24:42
Tata獭獭-,保密,天才,相信未来南京B,二级评论,6,0,2024-11-03 12:49:51
EAM_92,保密,属于fvver的日子,相信未来南京B,二级评论,4,0,2024-11-03 14:16:25
YatomQ,女,你们别在这儿诋毁姜萍了！告诉你们吧！所谓比赛作假的消息都是幌子！其实她已经被秘密保护起来了！国家非常重视她的才能！已经招她进749局了！[黑眼圈_金箍][干杯],相信未来南京B,二级评论,6,7,2024-11-03 15:54:39
广东炒河粉,男,&#34;作弊&#34;俩字是生僻字吗🤣,,一级评论,6,333,2024-11-03 11:26:06
白马素衣袂,男,[笑哭]给他们留块遮羞布吧,广东炒河粉,二级评论,6,2,2024-11-03 12:20:44
我的老家就在这个屯,保密,为了“女性尊严”,广东炒河粉,二级评论,6,16,2024-11-03 12:21:45
什么名字好啊qwq,保密,真恶心,广东炒河粉,二级评论,6,4,2024-11-03 13:19:38
模糊的痕迹,保密,还有造成恶劣社会影响，一点都不提[滑稽],广东炒河粉,二级评论,4,2,2024-11-03 20:23:15
随便吧-我只想睡觉,保密,那能一样吗？换成你我那必定通报成作弊了，但人家是女性天才[OK],广东炒河粉,二级评论,4,1,2024-11-03 23:56:49
小岚歆,女,man！,,一级评论,6,277,2024-11-03 10:49:27
玻士顿圆脸,保密,主！,小岚歆,二级评论,6,5,2024-11-03 11:01:58
Aramis失声,男,what can I say,小岚歆,二级评论,6,17,2024-11-03 11:05:08
吾妻8重神子,男,"主！6
1！5！
[脱单doge][脱单doge][脱单doge]",小岚歆,二级评论,5,13,2024-11-03 11:06:15
不赢不行啊,男,🐱🐱！,小岚歆,二级评论,6,0,2024-11-03 11:08:01
火车停下来了天亮了,男,主 out,小岚歆,二级评论,5,0,2024-11-03 11:12:20
不2不叫超级小驴,保密,斯玛特曼,小岚歆,二级评论,6,0,2024-11-03 11:15:19
彼空ノ苍星坠梦,保密,错啦，是woman!,小岚歆,二级评论,6,1,2024-11-03 11:17:41
星尘落于太阳的影子,保密,(￣o￣) . z Z,小岚歆,二级评论,5,0,2024-11-03 11:28:21
hgrj,保密,留给饮料瓶子的颜色不多了,小岚歆,二级评论,6,0,2024-11-03 12:43:00
夜刀神ウ天香,保密,woman!,小岚歆,二级评论,5,0,2024-11-03 16:32:24
A1l11,保密,热搜撤的好快。一开始热搜还写“姜萍”，很快撤下改成“姜某”，又撤下改成“阿里数赛”。之前不是很喜欢提这个名字吗[思考],,一级评论,4,234,2024-11-03 11:43:44
Featherwit愚人,男,因为之前央视给她站台[嗑瓜子],A1l11,二级评论,5,6,2024-11-03 22:37:28
福尔摩斯咖啡猫,保密,那么问题来了，被通报诫勉谈话的王某又是谁？[吃瓜][吃瓜][吃瓜][吃瓜][吃瓜][吃瓜][吃瓜],A1l11,二级评论,5,2,2024-11-03 23:09:56
绯雨零若,保密,每一次社会事件都是很好的检测器，抓着女性和中专这两个爆点流量而不去查证事实的媒体值得反思，还有一些揣着明白装糊涂，吃某些赛道流量的自媒体更应该被大众重新审视。,,一级评论,6,213,2024-11-03 11:01:11
绯雨零若,保密,另外预测对了，果然凑着热点事件来发布，我之前以为是凑着《黑神话》，没想到拖到凑着S赛发布。,绯雨零若,二级评论,6,20,2024-11-03 11:08:14
墨璃清泫,保密,【考数学别人写解字 姜萍都快答完了-哔哩哔哩】 https://b23.tv/hns3gsZ,绯雨零若,二级评论,5,1,2024-11-03 11:09:27
一当那一天真的来临一,男,这些叫自媒体，背后有他们资本爸爸,绯雨零若,二级评论,6,5,2024-11-03 11:11:15
绯雨零若,保密,回复 @一当那一天真的来临一 : 比如某“牛津博士”[OK],绯雨零若,二级评论,6,4,2024-11-03 11:22:14
绯雨零若,保密,https://www.bilibili.com/video/BV1nHSCYHEp2/,绯雨零若,二级评论,6,5,2024-11-03 11:28:25
鳖_载着理发店,保密,回复 @绯雨零若 :只是自媒体吗？[微笑],绯雨零若,二级评论,5,3,2024-11-03 11:31:33
goooooooogd,保密,回复 @一当那一天真的来临一 :【考数学别人写解字 姜萍都快答完了-哔哩哔哩】 https://b23.tv/hns3gsZ,绯雨零若,二级评论,6,2,2024-11-03 11:38:17
疾无忧,男,唉，自媒体。唉，资本。唉，黑手。唉，哈耶克。😡,绯雨零若,二级评论,6,2,2024-11-03 11:54:25
鼠鼠沃鸭,保密,央视呢？,绯雨零若,二级评论,2,5,2024-11-03 11:55:10
蔚蓝哈斯塔,保密,回复 @goooooooogd :这狗屎怎么把视频删了,绯雨零若,二级评论,5,0,2024-11-03 15:46:30
自由的萨特,保密,姜萍能出名是女权组织支持宣传的结果，不是因为她是热爱数学的中专生，而是因为她是女性，不信你想想 她比赛不是一二三名，却赢得了这么多关注 而且持续时间不短  背后没有组织运作是不可能做到的。,,一级评论,6,155,2024-11-03 12:02:34
天天吃涨停,保密,反正是各路势力给她买抖加,自由的萨特,二级评论,6,8,2024-11-03 12:08:00
