用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
诗之达者,保密,"平时的作业，我扫了一眼，觉得没有做的价值，我更喜欢在高等数学里探索。                    ——姜萍
艹，我也是这样的[笑]，但我跟她不同的是，我考试可以满分，我同学老师都认可我，当时数学老师还给了我可以不写作业的特权",销注已号账此,二级评论,4,1,2024-11-04 11:26:28
深沉的花豹先生,男,搜不到了，这下真的二流媒体都不如了，纯三流[笑哭],销注已号账此,二级评论,6,2,2024-11-04 12:27:30
堡仙魔,男,https://b23.tv/BV1pjSCYREh1 我补了个档,销注已号账此,二级评论,6,2,2024-11-04 14:27:26
炫神的电棍,保密,@央视网,销注已号账此,二级评论,5,0,2024-11-04 17:35:46
西紅柿炒雞蛋_,男,回复 @笨小孩Tau :是的，现在已经没了,销注已号账此,二级评论,5,0,2024-11-04 17:44:08
kenheart,保密,回复 @sanvictory :真的吗？被翻出来了？,销注已号账此,二级评论,4,0,2024-11-04 19:37:20
给守约狐仙,男,回复 @笨小孩Tau :好像是视频标题[doge],销注已号账此,二级评论,5,0,2024-11-04 23:03:22
瑞文蹲大牢,保密,回复 @星岛21 :不会做想两个小时零进展哪来的价值[doge_金箍],销注已号账此,二级评论,5,1,2024-11-04 23:28:58
゚长时,男,@央视网,销注已号账此,二级评论,6,0,2024-11-05 00:20:51
時空漣漪,女,@白板笔-,销注已号账此,二级评论,6,0,2024-11-05 00:35:45
NoBoundaryC,男,@央视网,销注已号账此,二级评论,6,0,2024-11-05 07:09:11
著名穷人,保密,回复 @触离充电话费送的 :不怎么样，他们会装死,销注已号账此,二级评论,6,0,2024-11-05 09:20:23
一只小现在,男,虽然但是，这不是因为不知道吗？,销注已号账此,二级评论,6,0,2024-11-05 09:55:01
只换老婆不换名,保密,@央视网,销注已号账此,二级评论,5,0,2024-11-05 10:15:03
十五夜稚草_Aster,女,回复 @笨小孩Tau :是央视网视频的标题，现在视频已经删了,销注已号账此,二级评论,6,0,2024-11-05 11:08:07
其实永远都不会来,女,三流媒体,销注已号账此,二级评论,6,1,2024-11-05 11:48:37
四百四十四号潜水员,保密,感觉近几年y视网业务水平断崖式下降,销注已号账此,二级评论,4,2,2024-11-05 15:01:52
bili_86946144580,保密,补档见证含金量🤣🤣🤣,销注已号账此,二级评论,4,0,2024-11-05 17:02:23
猎户坐飞鸟,保密,回复 @笨小孩Tau :是视频，现在删了，还好我缓存了,销注已号账此,二级评论,5,0,2024-11-05 20:47:12
平凡的不平凡的人,保密,@央视网,销注已号账此,二级评论,4,0,2024-11-05 21:18:47
汤圆-w-丶丶,保密,证明了好的中专不比985差,销注已号账此,二级评论,5,0,2024-11-08 18:36:51
采杞,男,回复 @笨小孩Tau : 这是央视网当时的视频标题,销注已号账此,二级评论,6,0,2024-11-08 20:35:07
多读书别被雷军洗脑,保密,回复 @笨小孩Tau :是央视采访，她自己说的,销注已号账此,二级评论,3,0,2024-11-08 22:07:46
不酒归,保密,@央视网,销注已号账此,二级评论,5,0,2024-11-17 08:24:49
哈哈你是不知道,保密,牛津的那个第一呢？[星星眼][星星眼][星星眼]牛津的姐姐也太厉害了,,一级评论,5,3404,2024-11-03 11:26:21
御坂美琴52320,保密,那家伙已经关闭评论区了，所有视频的评论都是“精选”[吃瓜][吃瓜],哈哈你是不知道,二级评论,6,646,2024-11-03 11:29:53
valar094,保密,她其实都懂，但她只坏不蠢，毕竟反对姜的有学问的人有的是，她捞不到啥流量。她的履历支持姜的话，流量更多,哈哈你是不知道,二级评论,5,662,2024-11-03 11:33:56
御坂美琴52320,保密,@牛津kate朱朱,哈哈你是不知道,二级评论,6,257,2024-11-03 11:34:49
御坂美琴52320,保密,贴一个链接，你们自己去看[吃瓜],哈哈你是不知道,二级评论,6,79,2024-11-03 11:35:11
jjj哈哈镜,保密,@牛津kate朱朱,哈哈你是不知道,二级评论,3,108,2024-11-03 11:36:50
数剑,男,回复 @御坂美琴52320 :啥也看不到，早就不好的评论我会删了😊,哈哈你是不知道,二级评论,5,272,2024-11-03 11:40:57
御坂みさか美琴みこと,保密,“不好的评论我会删”,哈哈你是不知道,二级评论,6,543,2024-11-03 11:41:44
御坂美琴52320,保密,圈地自萌也就算了，还天天搞些幺蛾子东西往外发[胆大党_微笑],哈哈你是不知道,二级评论,6,179,2024-11-03 11:42:30
゚゚゚゚゚奶龙,保密,考牛筋的都比它聪明,哈哈你是不知道,二级评论,3,146,2024-11-03 11:45:57
old-stone,男,回复 @御坂美琴52320 : 视频删了么,哈哈你是不知道,二级评论,5,3,2024-11-03 11:48:04
old-stone,男,回复 @御坂美琴52320 : 视频删了么,哈哈你是不知道,二级评论,5,3,2024-11-03 11:48:04
御坂美琴52320,保密,回复 @old-stone :@old-stone 现在，你去找姜萍以前有关的视频，网上全没了（这些人真能删，热度也是真能蹭）,哈哈你是不知道,二级评论,6,145,2024-11-03 11:52:04
孫悟飯Songonhan,保密,id是啥，我去围观,哈哈你是不知道,二级评论,4,4,2024-11-03 11:54:25
black狒,保密,回复 @鸪鸡 :烤牛筋的,哈哈你是不知道,二级评论,5,8,2024-11-03 11:54:58
滞销的货物,男,真牛津吗[doge],哈哈你是不知道,二级评论,6,6,2024-11-03 12:04:40
解说员王语嫣,男,真热爱数学不会把自己在数学方面的成就贴在脸上作为荣誉满世界宣传，每期标题也要带上这几个字，纯纯把数学当满足自己虚荣心的工具了,哈哈你是不知道,二级评论,5,135,2024-11-03 12:06:17
爱人如己丶,男,弹幕是关闭的，评论是精选的，这就叫做专业。/战术后仰,哈哈你是不知道,二级评论,5,94,2024-11-03 12:13:17
゚゚゚゚゚奶龙,保密,回复 @爱人如己丶 :集美从不打逆风局[无限暖暖_单品灵],哈哈你是不知道,二级评论,3,27,2024-11-03 12:15:23
喜欢御坂的呱太,男,想当网红罢了，数学只是人设,哈哈你是不知道,二级评论,6,61,2024-11-03 12:17:11
天天开心吃果仁,男,@牛津kate朱朱 你的天才同桌姜萍被官方镇压了[大哭]同为天才的你不出来解释一下为什么0.5是无理数吗？[给心心],哈哈你是不知道,二级评论,6,124,2024-11-03 12:18:48
H_Vintage,保密,"为什么没有顶级黑隐藏进它评论区被精选出来, 萍家军水平我并不是很认可.",哈哈你是不知道,二级评论,5,18,2024-11-03 12:19:40
背上是强大的祖国,保密,那个也是水货一个，我愿称之为牛筋姜萍,哈哈你是不知道,二级评论,5,64,2024-11-03 12:22:02
闲人马小跳,保密,遛狗@牛津kate朱朱,哈哈你是不知道,二级评论,6,54,2024-11-03 12:26:05
xixixi1x,保密,@牛津kate朱朱 遛狗,哈哈你是不知道,二级评论,5,48,2024-11-03 12:32:59
著名网黄居居,保密,回复 @御坂美琴52320 :不光那家伙[doge]羊妈，鑫桦网都把视频删了[吃瓜],哈哈你是不知道,二级评论,6,18,2024-11-03 12:33:49
杰尼龟吃鱼吗,保密,@牛津kate朱朱 溜条🐶,哈哈你是不知道,二级评论,6,38,2024-11-03 12:34:11
有点拉垮啊,保密,为了蹭一时的热度，把正常的流量都丢没了,哈哈你是不知道,二级评论,5,17,2024-11-03 12:41:22
看到我请催我去啃数学,保密,我来我来@牛津朱朱Kate,哈哈你是不知道,二级评论,6,6,2024-11-03 12:41:24
东巴黎official,保密,@牛津kate朱朱 出来挨打,哈哈你是不知道,二级评论,6,18,2024-11-03 12:42:56
五天荔枝,男,回复 @valar094 : 你太高估她，她也是在中国考不上高中。,哈哈你是不知道,二级评论,6,38,2024-11-03 12:43:56
流逝的时光鸭,保密,@牛津kate朱朱 姐姐这里有你的美照,哈哈你是不知道,二级评论,6,14,2024-11-03 12:53:09
一颗松子丫,女,@牛津kate朱朱 CMG开精选捏[吃瓜],哈哈你是不知道,二级评论,5,17,2024-11-03 12:57:09
菌饼毒,保密,但人家至少是牛津的呀，不能因为这一件事就这么黑吧，不能因为一件事就能抹去人家真正的成绩啊[笑哭][笑哭][笑哭][笑哭],哈哈你是不知道,二级评论,4,6,2024-11-03 12:57:21
一针一个小朋友,保密,回复 @闲人马小跳 :牛津姜萍,哈哈你是不知道,二级评论,5,10,2024-11-03 13:00:20
一颗松子丫,女,回复 @菌饼毒 :回复 @菌饼毒 有人起底了某“学霸”就读的高中以及相关专业，总结来说，只要你付得起极其昂贵的高中学费，申请个国外学校，水的且自费的博士轻而易举,哈哈你是不知道,二级评论,5,77,2024-11-03 13:00:22
不爱锻炼的猴子,保密,回复 @菌饼毒 :牛津个锤子 这人连中学数学都搞不清,哈哈你是不知道,二级评论,6,50,2024-11-03 13:00:55
六边形战神一条兼定,男,回复 @菌饼毒 :没那么玄幻，我表弟花了快600个也搞了个相当唬人的学历。,哈哈你是不知道,二级评论,6,44,2024-11-03 13:06:30
哆啦z梦z,男,这事还是要喷她老师，罪魁祸首,哈哈你是不知道,二级评论,6,0,2024-11-03 13:07:41
勺子鸽鸽,男,这cmg的title是真搞笑啊，牛津第一哈哈哈哈哈哈哈哈,哈哈你是不知道,二级评论,5,7,2024-11-03 13:11:00
在无能为力者的梦境,男,回复 @御坂美琴52320 :[doge][doge][doge],哈哈你是不知道,二级评论,5,0,2024-11-03 13:15:21
潮汕国民金的道理,保密,回复 @valar094 :这人翻车过很多次了，大概率是她父母花大价钱给她送到牛津的，不一定有真才实学,哈哈你是不知道,二级评论,4,52,2024-11-03 13:15:38
潮汕国民金的道理,保密,回复 @滞销的货物 :烤牛筋,哈哈你是不知道,二级评论,4,0,2024-11-03 13:16:08
肖居居99,保密,回复 @valar094 : 我猜她一开始是真信的，毕竟我一直觉得江萍只是破产版的@牛津kate朱朱罢了...,哈哈你是不知道,二级评论,6,22,2024-11-03 13:25:23
雪灵山小魔,保密,回复 @鸪鸡 : 她视频评论区还有人说集短嫉妒她呢，我也是头一次听说“集短”这个词[嗑瓜子][嗑瓜子],哈哈你是不知道,二级评论,5,5,2024-11-03 13:42:02
雪灵山小魔,保密,回复 @天天开心吃果仁 : 人家牛津第一哦[嗑瓜子]，你个集短凭什么让人家回话[妙啊],哈哈你是不知道,二级评论,5,0,2024-11-03 13:42:59
雪灵山小魔,保密,回复 @菌饼毒 : 苍蝇都不叮无缝的蛋，别说网友们大部分都枪口一致[嗑瓜子]，你就吃瓜看戏好了，应援她干什么[笑哭],哈哈你是不知道,二级评论,5,0,2024-11-03 13:45:36
叶子式,保密,回复 @huluobo2 :没个好爹送她出国，包出来麦的,哈哈你是不知道,二级评论,6,11,2024-11-03 13:48:27
huluobo2,男,回复 @叶子式 :反正既然她的才华本身没有可参考之处，那就只好看看她的狱卒了。,哈哈你是不知道,二级评论,6,4,2024-11-03 13:52:31
五天荔枝,男,回复 @雪灵山小魔 :回复 @雪灵山小魔 :我还碰到过猪猪的脑残粉，说你质疑猪猪就要公开自己的个人身份。猪猪的狗腿子已经在网上网暴了几个up，非常吓人，她和她的观音兵就像邪教一样，脑回路非常清奇和高度统一。,哈哈你是不知道,二级评论,6,8,2024-11-03 14:06:52
雨宫莲丶258,保密,回复 @解说员王语嫣 :你真信她是牛津的啊,哈哈你是不知道,二级评论,5,2,2024-11-03 14:14:00
雨宫莲丶258,保密,回复 @哆啦z梦z :喷她老师不如喷阿里,哈哈你是不知道,二级评论,5,1,2024-11-03 14:14:12
雨宫莲丶258,保密,回复 @菌饼毒 :你真信她是牛津的?就她哪签名一股唐味🤣,哈哈你是不知道,二级评论,5,24,2024-11-03 14:14:46
雨宫莲丶258,保密,回复 @菌饼毒 :爱情公寓看过没，看看吕子乔掉小雨淅淅做的网页，履历比她还NB,哈哈你是不知道,二级评论,5,12,2024-11-03 14:15:13
杰克波比马,保密,回复 @御坂美琴52320 :支持姜大师的言论和视频都没有了,哈哈你是不知道,二级评论,5,0,2024-11-03 14:19:09
前言之后,保密,@牛津kate朱朱,哈哈你是不知道,二级评论,5,3,2024-11-03 14:48:33
渡逸尘w,男,回复 @解说员王语嫣 :都未必是自己正儿八经钻研努力来的。反正名目立好了，只要不出格随你怎么玩,哈哈你是不知道,二级评论,6,3,2024-11-03 15:07:08
23714207471_bili,保密,@牛津kate朱朱 [doge_金箍],哈哈你是不知道,二级评论,5,0,2024-11-03 15:29:14
焦糖瓦尔特,女,@牛津kate朱朱 穆✓来看看你的高数集锦,哈哈你是不知道,二级评论,5,7,2024-11-03 15:50:31
