用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
啊对世子之争素来如此,保密,这又不是学校的考试，学校凭什么管人家学生[笑哭]处罚老师也是站在影响的角度，就跟老师婚内出轨也会被处分一样，其实本来就跟学校没关系,graysong,二级评论,5,5,2024-11-03 13:28:07
StickFigure_YL,男,回复 @jjjs321 :没脑子别说话,graysong,二级评论,6,2,2024-11-03 13:28:18
jjjs321,保密,回复 @StickFigure_YL :我没脑子还是你没脑子？看清楚了再回复。,graysong,二级评论,5,0,2024-11-03 13:31:07
化不可能为可能de男人,保密,回复 @面壁者yfl :受害者？[歪嘴]逼都装了，被骂就成受害者是吧？,graysong,二级评论,5,5,2024-11-03 13:43:36
千花满月,保密,回复 @咸鱼不思考 :阿里搞的，如果官方性质属于违法了会进去,graysong,二级评论,6,2,2024-11-03 13:51:04
ggxx1929,男,回复 @jjjs321 :之前就有人分析过，可能是老师考了一次对成绩不满意，借学生名义再去考第二次的，如果实际情况就是这样，那我觉得学生也是受害者，她的话语和行动其实都是受到背后成年人控制的。不管你惩不惩罚她，经过这次事件，她这辈子已经毁了，始作俑者的老师才是不可原谅。,graysong,二级评论,6,7,2024-11-03 14:04:59
咸鱼不思考,保密,回复 @千花满月 :是的呀，虽然这个看起来影响大，但原理上应该还不如四六级和驾照考试，更别说跟高考、考研和各大资格证相比了。,graysong,二级评论,6,1,2024-11-03 14:06:59
烟雨麦积,男,因为虽然影响大，但这实际上并不是正式的官方比赛，影响大但是没范什么规，也就差不多得了。,graysong,二级评论,6,1,2024-11-03 14:17:28
jjjs321,保密,回复 @ggxx1929 :借名字是没什么错，那么事后媒体采访吹牛是怎么回事？她的那些视频能不能解释一下呢？如果当初她时候站出来勇敢说出真相会不会获得大伙原谅呢？知错能改，善莫大焉！知错不改，罪大恶极。,graysong,二级评论,5,0,2024-11-03 14:52:34
-老师您好-,保密,回复 @耐遮王小莫 :造谣是她的责任？恐怕什么报责任更大,graysong,二级评论,5,2,2024-11-03 15:18:36
麻辣の雪乃,保密,回复 @面壁者yfl :姜萍怎么就受害者了？红利不收的挺好的吗？被带带节奏就转变风评了？麻烦分析一下姜萍为什么是受害者。,graysong,二级评论,5,1,2024-11-03 15:23:17
老歪脖子垂柳,男,一般来说，成年人教唆未成年人犯罪的，成年人为主犯，未成年人从轻。如果处罚姜重于王，那未成年人犯罪会呈指数增长的。仅代表个人观点。,graysong,二级评论,5,2,2024-11-03 15:30:30
慈禧帮我付过了,保密,老师用她信息开小号看题，她算受害者了，一开始怕不是“帮老师个忙”……,graysong,二级评论,6,3,2024-11-03 15:33:15
只想奔赴樱桃,保密,回复 @麻辣の雪乃 :未成年没脑子被人耍了，对她讲重话没必要，只有这一个理由可以讲得通喽,graysong,二级评论,4,0,2024-11-03 15:34:47
伪美食po主,保密,回复 @加尔卡卡 :社会会奖励她的，她可是为女性之光出过力的[doge],graysong,二级评论,6,1,2024-11-03 15:37:24
凉了变成BE凝聚态咸鱼,男,什么作弊，就是王用学生身份开个小号再考一次，你真以为只是作弊啊，纯代打。,graysong,二级评论,6,2,2024-11-03 15:38:40
只想奔赴樱桃,保密,回复 @化不可能为可能de男人 :觉得她受害是因为年龄小没脑子被人耍了都不知道，你别说什么我比她年龄小或我在她那个年龄段时候我就懂这是骗局。一句话说得好我们没被诈骗是因为没遇到专属于自己的坑。,graysong,二级评论,4,2,2024-11-03 15:39:21
没有艺术的沙雕骚年,男,B站最高人民法院宣判 死刑!立即执行,graysong,二级评论,6,0,2024-11-03 15:46:43
我借你的孤单阿,保密,回复 @面壁者yfl :是的,graysong,二级评论,4,0,2024-11-03 15:56:47
鳕鱼菇狼,保密,回复 @约定い零点 :包容保护不代表去模糊事实，她是共犯，不是受害者。,graysong,二级评论,5,1,2024-11-03 16:00:15
约定い零点,保密,回复 @鳕鱼菇狼 :我哪句话说他没有问题了，我又哪句话说他不是共犯了，我哪句话又模糊事实了,graysong,二级评论,6,0,2024-11-03 16:05:12
自动化毕业生,保密,回复 @不要吃红心火龙果 :老王自己也摸不准哪个方法是对的，他给自己的答案写错了，给姜萍写的答案碰巧蒙对了而已,graysong,二级评论,5,1,2024-11-03 16:15:35
麻辣の雪乃,保密,回复 @只想奔赴樱桃 :中专这个年龄跟成年区别不大，还巨婴吗说耍就耍，说白了就是自己贪，想借机直接出人头地。,graysong,二级评论,5,1,2024-11-03 16:22:46
鳕鱼菇狼,保密,回复 @约定い零点 :我的问题,graysong,二级评论,5,0,2024-11-03 16:30:02
只想奔赴樱桃,保密,回复 @麻辣の雪乃 :她蠢就蠢在完全没想过事情败露后自己的处境，这个年龄是跟成年区别不大，但有没有接受过社会毒打区别还是很大的。,graysong,二级评论,4,3,2024-11-03 16:30:13
如静水止昔烈火,男,回复 @面壁者yfl :姜萍是个√8受害者，合着是他老师逼着她让她参加考试然后作弊，是记者逼着她让她在镜头面前说什么简单的题我看不上之类的？,graysong,二级评论,5,1,2024-11-03 16:32:43
风和日丽伍六一,保密,为什么要处罚王老师?学校有权处罚吗？王老师的行为和姜同学的表现，违反了学校那一条规定?这次的数学全球比赛，是是学校的教学计划中的一环？老师在这件事上的行为是职务行为还是个人行为?如果不属于职务行为，学校有啥资格管辖?,graysong,二级评论,5,0,2024-11-03 16:36:02
黄金锅包肉,保密,回复 @面壁者yfl :受害个几把，你没看到她被采访时候笑得多灿烂，还探讨去清华还是去浙大[呲牙],graysong,二级评论,5,1,2024-11-03 16:41:15
故玖子,保密,回复 @面壁者yfl :jp真的是受害者吗？你看当初那波流量她接没接，配合人家记者拍视频，你看出一丝不情愿了吗[喜极而泣],graysong,二级评论,5,1,2024-11-03 16:51:01
大黑狗安迪,保密,回复 @故玖子 :人家好像一直也没怎么情愿过。搞不好她说了是代打的,graysong,二级评论,6,0,2024-11-03 16:58:12
故玖子,保密,回复 @大黑狗安迪 :现在还有人替她洗，我这就去卖保健品[喜极而泣],graysong,二级评论,5,0,2024-11-03 17:00:56
大黑狗安迪,保密,回复 @故玖子 :有啥洗不洗的，未成年能干嘛，读书的时候老师让你对口型假唱表演也没见谁说老师教我作假。怪就怪成年人，那个老师不会说是他带打的吗,graysong,二级评论,6,1,2024-11-03 17:03:42
作死的人森,男,回复 @不要吃红心火龙果 :王先做然后和论坛讨论后帮姜做,graysong,二级评论,6,0,2024-11-03 17:31:29
tigerwfong,保密,回复 @面壁者yfl :受害者是一起考试但没作弊的人 姜在全国人民面前欺世盗名了一波你说它是受害者真是搞笑 不要闻到臭嗨就上去舔,graysong,二级评论,6,0,2024-11-03 17:34:01
graysong,保密,回复 @风和日丽伍六一 : 按你说的意思好像和学校一点关系都没有一样。获奖是要带着学校的，并不是私人自己在社会上报的比赛，比赛通知也是下发到学校，学校组织本校学生和老师才赛的。,graysong,二级评论,4,0,2024-11-03 18:00:19
哦哦哦弄个41,保密,姜萍和万润秋处对象了，应该判刑,graysong,二级评论,5,0,2024-11-03 18:05:48
哦哦哦弄个41,保密,回复 @面壁者yfl :姜萍和万润秋处对象了，应该判刑,graysong,二级评论,5,0,2024-11-03 18:06:14
Gooce,男,主要是严重怀疑这不是姜萍的个人意愿，媒体学校为了流量和利益，很有可能去要求姜萍去按照剧本演，这种极其不对等的权利关系下，一个未成年人对自己这种行为的界限认知是十分模糊的。如果这件事发生在一个成年人身上，会配合演剧本的不在少数，更何况一个未成年,graysong,二级评论,6,0,2024-11-03 18:11:39
故玖子,保密,回复 @大黑狗安迪 :她自己没张嘴吗，自己不会承认啊，几岁的人了，对错分不清啊，小事就算了，这种事上还撒谎啊，浪费了多少公众资源[喜极而泣],graysong,二级评论,5,1,2024-11-03 18:19:44
大黑狗安迪,保密,回复 @故玖子 :搞笑她怎么承认啊 你说你不会就不会啊。比如她跟媒体不会数学，媒体来句姜萍被网暴放弃阿里比赛。姜萍压力大放弃阿里比赛。姜萍被胁迫放弃阿里比赛，不又是一大波流量。,graysong,二级评论,6,0,2024-11-03 18:25:37
艾萨克iu,保密,什么作弊？女性的事情，能叫作弊吗？[doge],graysong,二级评论,3,0,2024-11-03 18:38:16
故玖子,保密,回复 @大黑狗安迪 :666，抖音有没有？b站会不会下？账号会不会注册？实名制注册会不会？发视频澄清会不会？你不会就是jp吧，这么着急洗,graysong,二级评论,5,0,2024-11-03 18:51:25
大黑狗安迪,保密,回复 @故玖子 :哥们你在搞笑吗未成年玩抖音视频审核非常严重。你见过几个真未成年在抖音发视频的,graysong,二级评论,6,0,2024-11-03 18:56:41
华锐集团CEO_李泽言,女,这又不是学校的考试，企业举办的趣味比赛罢了，和学校没关系。处罚老师是因为老师是学校的职工，作弊多少是对学校声誉有影响，至于姜萍，她都退学了，都不是学校学生了学校更管不着了,graysong,二级评论,6,0,2024-11-04 01:01:46
故玖子,保密,回复 @大黑狗安迪 :那你猜她妈注册个抖音干嘛用的，只要有监护人陪同可以直播OK？[笑哭],graysong,二级评论,5,0,2024-11-05 08:16:41
大黑狗安迪,保密,回复 @故玖子 :幽默那是不是姜她妈都不一定呢,graysong,二级评论,6,0,2024-11-05 08:22:29
故玖子,保密,回复 @大黑狗安迪 :实名制，懂不懂实名制什么意思，幽默哥[星星眼],graysong,二级评论,5,0,2024-11-05 08:47:44
南十字座a,保密,浙大：幸亏当初顶住舆论压力，没特招她。,,一级评论,6,512,2024-11-03 16:49:19
午夜捣馆侠,男,特招进去了也是个垫底，最后被开除,南十字座a,二级评论,5,49,2024-11-03 16:53:19
知识锐刻,保密,不会这么儿戏的,南十字座a,二级评论,6,25,2024-11-03 21:35:36
老虎钳请远离我,保密,我也是想到了这个，当时浙大被好多网友骂了，还好没招[灵魂出窍],南十字座a,二级评论,3,56,2024-11-03 22:50:31
lIIlIllIlllII,男,当时抖音还有一堆人喷国家的。[吃瓜],南十字座a,二级评论,4,37,2024-11-03 23:39:45
望岗的嘉禾,保密,你认为就是进去能顺利毕业？难不成一年不到就挂科被劝退吧[吃瓜],南十字座a,二级评论,5,22,2024-11-03 23:48:08
南十字座a,保密,回复 @望岗的嘉禾 :她毕不了业是她的事，关键是浙大丢人啊。,南十字座a,二级评论,6,33,2024-11-04 00:27:53
火红的小松鼠,保密,特招进去了也只能进数学系，然后门门科目不及格被退学[doge]数学不会就是不会，这种高校挂科太多是真会让你退学的,南十字座a,二级评论,5,25,2024-11-04 00:59:15
咕咕废品回收站,保密,能特招的都是履历干净的，估计没特招也是早就知道这中间的烂事了，只不过没对外公布,南十字座a,二级评论,6,13,2024-11-04 01:02:03
温柔の狮兄,保密,就算想特招，一张卷子就原形毕露，甚至都不用去学校报道，入学测一下就暴露了,南十字座a,二级评论,6,22,2024-11-04 10:35:12
糕糕今天学习了吗,女,回复 @我库库炫红椒酱 :骂的网友本来也不在浙大招生范围里 一群底层罢了,南十字座a,二级评论,5,22,2024-11-04 11:25:13
合二为一的光,保密,回复 @南十字座a :丢人事小，以后高考还办得起来？他特招她特招，那大家伙辛辛苦苦十二年考个屁啊？直接諽命推翻重来好了[给心心],南十字座a,二级评论,5,9,2024-11-04 22:18:58
A特斯河之赞,保密,不可能招的。这只是一个民间的开卷不正规考试而已。要是特招了，那明年就热闹了[笑哭],南十字座a,二级评论,5,7,2024-11-06 00:51:15
sssTNT,女,回复 @糕糕今天学习了吗 :雀食[tv_白眼],南十字座a,二级评论,6,2,2024-11-06 10:17:41
征威长夜,男,回复 @lIIlIllIlllII :抖音里一堆什么成分就不用多说了。,南十字座a,二级评论,4,1,2024-11-16 01:20:38
子曰蘅瑾,保密,回复 @lIIlIllIlllII :垃圾场[辣眼睛]建议卖保健品的多去d音,南十字座a,二级评论,6,1,2024-11-25 19:15:47
今晚打虎s,保密,回复 @望岗的嘉禾 :但是她会作弊啊[脱单doge] 有没有可能作弊保研了,南十字座a,二级评论,6,0,2024-11-28 18:14:36
rayzzzzzzz,保密,浙大教授又不傻，你看支持她的除了吃人血馒头的有几个完整接受12年教育的,南十字座a,二级评论,5,0,2024-12-11 00:43:00
年少不知人间悲欢,男,我只能说贝多芬可能在捡破烂，但高斯绝不会在送外卖,,一级评论,6,4635,2024-11-03 16:37:22
咳咳咳ni,保密,哈哈,年少不知人间悲欢,二级评论,5,12,2024-11-03 17:20:49
锦书辞北,保密,数学有天赋的人真是抢着要,年少不知人间悲欢,二级评论,6,228,2024-11-03 19:15:22
麟儿快来,男,也别这么说，笛卡尔也穷得要过饭,年少不知人间悲欢,二级评论,6,57,2024-11-03 19:59:52
没有人会拒绝西宫硝子,男,国内这个背景下，梅西乔丹贝多芬这种人可能会被埋没，但是你说数学天才怎么可能不会显现[笑哭],年少不知人间悲欢,二级评论,5,806,2024-11-03 20:18:34
YE_FPV,男,回复 @麟儿快来 :时代不一样 层主说的是现在,年少不知人间悲欢,二级评论,5,82,2024-11-03 21:25:56
宇智波尔卜特,保密,可是黎曼真的是穷死的，这可是数学史上能排前十的狠人[笑哭]现在的华人最强数学家之一张益唐也刷了十几年的盘子[doge],年少不知人间悲欢,二级评论,5,131,2024-11-03 21:28:29
Licheca,保密,虽然但是，魏尔斯特拉斯,年少不知人间悲欢,二级评论,3,8,2024-11-03 21:48:29
天上星星几何,保密,回复 @宇智波尔卜特 :黎曼是因为战乱，张是自己不愿回国,年少不知人间悲欢,二级评论,6,103,2024-11-03 21:49:09
_SilverMoon-,男,那伟大的不世奇才阿贝尔，是怎么死的？,年少不知人间悲欢,二级评论,4,16,2024-11-03 21:49:14
三王殿X,保密,回复 @jeff9965 :主要是艺术体育这种天赋的显现没有数学容易[doge],年少不知人间悲欢,二级评论,5,8,2024-11-03 21:51:45
侃侃呀灬,男,回复 @没有人会拒绝西宫硝子 :国内如果是严重偏科，数学成绩次次满分，早就被班主任学校发现了他的独特之处，给他报名奥赛和参加数学省级竞赛，还能代表学校参加给点知名度。[doge_金箍],年少不知人间悲欢,二级评论,5,86,2024-11-03 21:52:25
jeff9965,保密,回复 @宇智波尔卜特 :张益唐情况不一样，他在美国刷盘子是个人选择的结果。在中国像他这样的人是不可能被埋没的。他北大数学系硕士毕业，80年代被北大校长同时也是数学界扛把子丁石孙推荐到美国公费留学，像他这样的人，如果学成回国，混个大学教授或者研究员，衣食无忧一辈子也是很轻松的，结果他选择在美国颠沛流离半生，只能说是国情不同，好在后来结果不错，干出一番成果终于出头了,年少不知人间悲欢,二级评论,6,89,2024-11-03 21:53:57
knowledge-tree,保密,回复 @锦书辞北 :我一发小，就喜欢天文物理，985硕士，就业困难。算不算被埋没,年少不知人间悲欢,二级评论,6,5,2024-11-03 21:57:57
人间秋月有幸事,保密,回复 @侃侃呀灬 :还有就是数学次次逼近满分的人，不可能存在严重的偏科的,年少不知人间悲欢,二级评论,6,10,2024-11-03 21:59:21
楚桥梦仙,男,回复 @锦书辞北 :数学有天赋了，不可能现在才会展现,年少不知人间悲欢,二级评论,4,5,2024-11-03 22:03:21
咳咳咳ni,保密,回复 @人间秋月有幸事 :确实，现在还很多人以为真的有数学150英语十几分的,年少不知人间悲欢,二级评论,5,10,2024-11-03 22:07:53
寒霜无梦,保密,回复 @knowledge-tree :天文物理这些没有博士级别，就业还是相对困难吧,年少不知人间悲欢,二级评论,5,10,2024-11-03 22:11:11
寒霜无梦,保密,回复 @knowledge-tree :天文物理这些没有博士级别，就业还是相对困难吧,年少不知人间悲欢,二级评论,5,0,2024-11-03 22:11:12
还不去做青年大学习,保密,回复 @knowledge-tree :只能说个人因素影响较大，这种背景可能会找到个不太对口的工作，但找个说的过去的工作还是容易的，比方说找个初高中当个老师还是容易的,年少不知人间悲欢,二级评论,6,5,2024-11-03 22:11:19
Capricornus9797,保密,回复 @knowledge-tree :喜欢和天才，天才和行业领袖，是有天和地的差距,年少不知人间悲欢,二级评论,5,13,2024-11-03 22:11:27
拉斯特与他的小伙伴,保密,回复 @宇智波尔卜特 : 别扯淡了，张益唐混得再落魄，他也是博士。现代社会只要你显露出天才，绝对不会只读一个中专。,年少不知人间悲欢,二级评论,5,13,2024-11-03 22:27:54
模糊的痕迹,保密,高斯是有贵人才读得起书的。公爵死后，为了生活也干了10多年大地测量这种累活。并不存在高斯不可能一定不会干某个行业的活。但是天才的锋芒是挡不住的，高斯在干大地测量这脏活， 干成了大地测量学的祖师爷级别的存在[妙啊]去研究物理学，跟韦伯搞出了世界第一个电话电报系统和画出了世界第一张地球磁场图……只有涉足的领域，都有大师级别的成就。这就是天才的含金量[滑稽],年少不知人间悲欢,二级评论,4,14,2024-11-03 22:36:44
knowledge-tree,保密,回复 @Capricornus9797 :有名的人可以参照张五常他侄子的经历，我身边的例子也有，我侄子在国内的时候，中等偏上吧，中学出去了，现在在瑞典皇家理工。我自己的经历，我是国内前20学校的硕士，我高中同桌借读生，大学出去的，现在在新加坡国立读博,年少不知人间悲欢,二级评论,6,1,2024-11-03 22:41:46
宇智波尔卜特,保密,回复 @拉斯特与他的小伙伴 :看来张益唐刷十几年的盘子水都被你喝了,年少不知人间悲欢,二级评论,5,0,2024-11-03 22:56:56
甘小蔗哦,保密,回复 @没有人会拒绝西宫硝子 :物质门槛不一样呗，音乐要砸钱，数学有笔有纸就行,年少不知人间悲欢,二级评论,5,6,2024-11-03 23:26:26
年少不知人间悲欢,男,回复 @_SilverMoon- :所以你为何知道阿贝尔？,年少不知人间悲欢,二级评论,6,0,2024-11-03 23:37:28
L小鱼Lin,女,@彧青-,年少不知人间悲欢,二级评论,5,1,2024-11-04 00:58:07
春日旅行日记,女,回复 @宇智波尔卜特 :他也是没办法，那时候环境不同,年少不知人间悲欢,二级评论,6,0,2024-11-04 01:12:27
折耳跟猫,保密,回复 @麟儿快来 :意思是如果他们生在现在的中国,年少不知人间悲欢,二级评论,2,4,2024-11-04 01:57:46
坐隐忘忧围棋教室,保密,回复 @宇智波尔卜特 :那是因为黎曼不是现在的国人。在我们这里会有送外卖的乔丹梅西，但是绝对不会有收破烂的黎曼,年少不知人间悲欢,二级评论,5,3,2024-11-04 04:09:50
我自闭le,男,回复 @宇智波尔卜特 :黎曼第一都不为过,年少不知人间悲欢,二级评论,6,0,2024-11-04 05:20:11
无忌割,保密,分数相差不大的几个人，分数最低但是ta送了红包或者卖🥩会被优先选择。甚至有个学校或者公司选人时，他分数不达标差2分，但是有背景就把分数达标的一个人踢出去给他让位。,年少不知人间悲欢,二级评论,4,0,2024-11-04 07:35:35
我有一壶春,保密,回复 @宇智波尔卜特 :张益唐是在美国刷盘子谢谢,年少不知人间悲欢,二级评论,5,1,2024-11-04 10:19:38
我有一壶春,保密,回复 @knowledge-tree :不算。喜欢不代表擅长。,年少不知人间悲欢,二级评论,5,3,2024-11-04 10:20:16
Asiliml,女,回复 @宇智波尔卜特 :数学研究周期长，战争时期非应用数学不见得很有用。张穷似也不会回国，说明真别回,年少不知人间悲欢,二级评论,6,3,2024-11-04 11:13:02
科技党的三次方,保密,回复 @knowledge-tree :985硕士不存在就业困难，有的只是能去的看不上，看得上的不要他罢了,年少不知人间悲欢,二级评论,6,4,2024-11-04 11:15:00
数学分析不出来,保密,阿贝尔：不嘻嘻,年少不知人间悲欢,二级评论,5,2,2024-11-04 11:15:16
羽雨潇,男,回复 @麟儿快来 :现在这应试教育，笛卡尔也不会穷得要饭,年少不知人间悲欢,二级评论,6,6,2024-11-04 11:58:58
First_Goon,男,回复 @没有人会拒绝西宫硝子 : 拉倒吧，真有实力考几次试就能看出实力，真有实力的早被拉去打比赛了,年少不知人间悲欢,二级评论,6,2,2024-11-04 12:00:55
bili_27676909854,保密,回复 @没有人会拒绝西宫硝子 :在中国，梅西和乔丹绝对不会被埋没，前提是你得先练出来。你没练出来，谁会相信你有梅西和乔丹的天赋？中国足球和篮球成绩这么差，真出了个梅西和乔丹，绝对是巨星级别的，成就超过姚明。,年少不知人间悲欢,二级评论,3,4,2024-11-04 12:15:22
香蕉猫银白,保密,回复 @knowledge-tree :985硕士这种级别绝大多数都算不上天才啊[笑哭][笑哭]又不是top2,年少不知人间悲欢,二级评论,4,5,2024-11-04 13:29:10
Mokieeeeeee,男,回复 @没有人会拒绝西宫硝子 :一针见血,年少不知人间悲欢,二级评论,5,0,2024-11-04 14:04:12
Sule-Hof,男,回复 @knowledge-tree :经典我家人，我同学，我邻居[喜极而泣]。我也有啊，我有个同学以前门门不及格，十几年没见现在斯坦福当了数学教授，他就是姜萍那种一直平平无奇，然后突然脑子嘣的一下开了窍成了数学天才。这种后天突然开窍的我称之为地才，地赋。[滑稽],年少不知人间悲欢,二级评论,5,2,2024-11-04 17:11:29
knowledge-tree,保密,回复 @科技党的三次方 :[微笑],年少不知人间悲欢,二级评论,6,0,2024-11-04 18:46:44
knowledge-tree,保密,回复 @Sule-Hof :你来天津，我让你看看是不是真的。要是真的，你给我十万，假的我陪你50万。怎么样[滑稽]敢不。拿证之前去公证处的,年少不知人间悲欢,二级评论,6,0,2024-11-04 18:48:41
黎明前的浪曼x,保密,回复 @麟儿快来 :还真是,年少不知人间悲欢,二级评论,5,0,2024-11-04 19:34:21
南风知我意吖啊,男,回复 @锦书辞北 :数学有天赋的人从小就有而且是很容易被发现,年少不知人间悲欢,二级评论,6,0,2024-11-04 22:18:03
D按时吃饭,男,数学没那么多主观意识，回就是会，不会就是不会,年少不知人间悲欢,二级评论,6,0,2024-11-05 03:59:31
兰柯一梦蝶,保密,高斯人当年穷只能初中毕业，照样惊才艳艳，数学有天赋的人在全世界任何一个角落都能混出名。,年少不知人间悲欢,二级评论,6,2,2024-11-05 06:04:40
_阿蒙Amon,女,艺术是有成本才能接触到的，但是只要读过书接受过义务教育的，怎么可能不展现天赋，那些出名的数学天才差不多10岁左右或多或少都会表现出来，而且其他科目偏科我不敢说，但是数学偏科好到某种地步是一定会被保送的，然而他在中专我就觉得很不现实很不合理,年少不知人间悲欢,二级评论,5,0,2024-11-05 08:37:38
匈奴上单123,男,回复 @宇智波尔卜特 :他是在美国刷盘子,年少不知人间悲欢,二级评论,6,1,2024-11-05 09:58:43
羽林思雨霖,保密,回复 @麟儿快来 :封建时代有数学不受重视的时候，现在这个时代只要是数学天才就不可能埋没,年少不知人间悲欢,二级评论,5,0,2024-11-05 11:40:45
Lynx_Pale,保密,回复 @年少不知人间悲欢 :可能是因为阿贝尔收敛定理家喻户晓，所以什么牛鬼蛇神都能把死去的可怜的阿贝尔拉出来给jump挡刀吧[大哭],年少不知人间悲欢,二级评论,6,0,2024-11-05 13:13:53
路鸣泽-小魔鬼,保密,这个年代哪里还有阿贝尔和伽罗瓦啊，而且人家的童年时代就成绩不斐,年少不知人间悲欢,二级评论,6,0,2024-11-05 13:25:03
嘉心猪,保密,回复 @没有人会拒绝西宫硝子 :你也太小看梅西乔丹贝多芬了，梅西这种天赋级别，给个橘子、水瓶都能踢出花来，不可能天赋展示不出来，这么好的天赋自然就能想到适合足球,年少不知人间悲欢,二级评论,5,2,2024-11-05 13:25:12
路鸣泽-小魔鬼,保密,回复 @_SilverMoon- :这个年代哪里还有阿贝尔和伽罗瓦啊，而且人家的童年时代就成绩不斐，并不是考不上什么高中大学,年少不知人间悲欢,二级评论,6,0,2024-11-05 13:25:43
Lazysmiling,保密,回复 @Sule-Hof :我们教授给我们讲过有一个韩国人本科数学好像成绩很一般，但是到了研究生找对了方向，开窍了，拿了Fields Medal.,年少不知人间悲欢,二级评论,5,0,2024-11-05 14:53:28
